indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	One	OO
2	2	1	morning	NN
3	3	1	,	OO
4	4	1	when	RB
5	5	1	Gregor	NN
6	6	1	Samsa	NN
7	7	1	woke	VB
8	8	1	from	OO
9	9	1	troubled	JJ
10	10	1	dreams	NN
11	11	1	,	OO
12	12	1	he	NN
13	13	1	found	VB
14	14	1	himself	NN
15	15	1	transformed	VB
16	16	1	in	OO
17	17	1	his	JJ
18	18	1	bed	NN
19	19	1	into	OO
20	20	1	a	OO
21	21	1	horrible	JJ
22	22	1	vermin	NN
23	23	1	.	OO
24	1	2	He	NN
25	2	2	lay	VB
26	3	2	on	OO
27	4	2	his	JJ
28	5	2	armour-like	JJ
29	6	2	back	RB
30	7	2	,	OO
31	8	2	and	OO
32	9	2	if	OO
33	10	2	he	NN
34	11	2	lifted	VB
35	12	2	his	JJ
36	13	2	head	NN
37	14	2	a	OO
38	15	2	little	JJ
39	16	2	he	NN
40	17	2	could	VB
41	18	2	see	VB
42	19	2	his	JJ
43	20	2	brown	JJ
44	21	2	belly	NN
45	22	2	,	OO
46	23	2	slightly	RB
47	24	2	domed	JJ
48	25	2	and	OO
49	26	2	divided	VB
50	27	2	by	OO
51	28	2	arches	NN
52	29	2	into	OO
53	30	2	stiff	JJ
54	31	2	sections	NN
55	32	2	.	OO
56	1	3	The	OO
57	2	3	bedding	NN
58	3	3	was	VB
59	4	3	hardly	RB
60	5	3	able	JJ
61	6	3	to	OO
62	7	3	cover	VB
63	8	3	it	NN
64	9	3	and	OO
65	10	3	seemed	VB
66	11	3	ready	JJ
67	12	3	to	OO
68	13	3	slide	VB
69	14	3	off	OO
70	15	3	any	OO
71	16	3	moment	NN
72	17	3	.	OO
73	1	4	His	JJ
74	2	4	many	JJ
75	3	4	legs	NN
76	4	4	,	OO
77	5	4	pitifully	RB
78	6	4	thin	JJ
79	7	4	compared	VB
80	8	4	with	OO
81	9	4	the	OO
82	10	4	size	NN
83	11	4	of	OO
84	12	4	the	OO
85	13	4	rest	NN
86	14	4	of	OO
87	15	4	him	NN
88	16	4	,	OO
89	17	4	waved	VB
90	18	4	about	OO
91	19	4	helplessly	RB
92	20	4	as	OO
93	21	4	he	NN
94	22	4	looked	VB
95	23	4	.	OO
96	1	5	``	OO
97	2	5	What	NN
98	3	5	's	VB
99	4	5	happened	VB
100	5	5	to	OO
101	6	5	me	NN
102	7	5	?	OO
103	8	5	''	OO
104	1	6	he	NN
105	2	6	thought	VB
106	3	6	.	OO
107	1	7	It	NN
108	2	7	was	VB
109	3	7	n't	RB
110	4	7	a	OO
111	5	7	dream	NN
112	6	7	.	OO
113	1	8	His	JJ
114	2	8	room	NN
115	3	8	,	OO
116	4	8	a	OO
117	5	8	proper	JJ
118	6	8	human	JJ
119	7	8	room	NN
120	8	8	although	OO
121	9	8	a	OO
122	10	8	little	JJ
123	11	8	too	RB
124	12	8	small	JJ
125	13	8	,	OO
126	14	8	lay	JJ
127	15	8	peacefully	RB
128	16	8	between	OO
129	17	8	its	JJ
130	18	8	four	OO
131	19	8	familiar	JJ
132	20	8	walls	NN
133	21	8	.	OO
134	1	9	A	OO
135	2	9	collection	NN
136	3	9	of	OO
137	4	9	textile	NN
138	5	9	samples	NN
139	6	9	lay	VB
140	7	9	spread	VB
141	8	9	out	OO
142	9	9	on	OO
143	10	9	the	OO
144	11	9	table	NN
145	12	9	-	OO
146	13	9	Samsa	NN
147	14	9	was	VB
148	15	9	a	OO
149	16	9	travelling	VB
150	17	9	salesman	NN
151	18	9	-	OO
152	19	9	and	OO
153	20	9	above	OO
154	21	9	it	NN
155	22	9	there	OO
156	23	9	hung	VB
157	24	9	a	OO
158	25	9	picture	NN
159	26	9	that	OO
160	27	9	he	NN
161	28	9	had	VB
162	29	9	recently	RB
163	30	9	cut	VB
164	31	9	out	OO
165	32	9	of	OO
166	33	9	an	OO
167	34	9	illustrated	JJ
168	35	9	magazine	NN
169	36	9	and	OO
170	37	9	housed	VB
171	38	9	in	OO
172	39	9	a	OO
173	40	9	nice	JJ
174	41	9	,	OO
175	42	9	gilded	JJ
176	43	9	frame	NN
177	44	9	.	OO
178	1	10	It	NN
179	2	10	showed	VB
180	3	10	a	OO
181	4	10	lady	NN
182	5	10	fitted	VB
183	6	10	out	OO
184	7	10	with	OO
185	8	10	a	OO
186	9	10	fur	NN
187	10	10	hat	NN
188	11	10	and	OO
189	12	10	fur	NN
190	13	10	boa	NN
191	14	10	who	NN
192	15	10	sat	VB
193	16	10	upright	NN
194	17	10	,	OO
195	18	10	raising	VB
196	19	10	a	OO
197	20	10	heavy	JJ
198	21	10	fur	NN
199	22	10	muff	NN
200	23	10	that	OO
201	24	10	covered	VB
202	25	10	the	OO
203	26	10	whole	NN
204	27	10	of	OO
205	28	10	her	JJ
206	29	10	lower	JJ
207	30	10	arm	NN
208	31	10	towards	OO
209	32	10	the	OO
210	33	10	viewer	NN
211	34	10	.	OO
212	1	11	Gregor	NN
213	2	11	then	RB
214	3	11	turned	VB
215	4	11	to	OO
216	5	11	look	VB
217	6	11	out	OO
218	7	11	the	OO
219	8	11	window	NN
220	9	11	at	OO
221	10	11	the	OO
222	11	11	dull	JJ
223	12	11	weather	NN
224	13	11	.	OO
225	1	12	Drops	NN
226	2	12	of	OO
227	3	12	rain	NN
228	4	12	could	VB
229	5	12	be	VB
230	6	12	heard	VB
231	7	12	hitting	VB
232	8	12	the	OO
233	9	12	pane	NN
234	10	12	,	OO
235	11	12	which	OO
236	12	12	made	VB
237	13	12	him	NN
238	14	12	feel	VB
239	15	12	quite	RB
240	16	12	sad	JJ
241	17	12	.	OO
242	1	13	``	OO
243	2	13	How	RB
244	3	13	about	RB
245	4	13	if	OO
246	5	13	I	NN
247	6	13	sleep	VB
248	7	13	a	OO
249	8	13	little	JJ
250	9	13	bit	NN
251	10	13	longer	RB
252	11	13	and	OO
253	12	13	forget	VB
254	13	13	all	OO
255	14	13	this	OO
256	15	13	nonsense	NN
257	16	13	''	OO
258	17	13	,	OO
259	18	13	he	NN
260	19	13	thought	VB
261	20	13	,	OO
262	21	13	but	OO
263	22	13	that	OO
264	23	13	was	VB
265	24	13	something	NN
266	25	13	he	NN
267	26	13	was	VB
268	27	13	unable	JJ
269	28	13	to	OO
270	29	13	do	VB
271	30	13	because	OO
272	31	13	he	NN
273	32	13	was	VB
274	33	13	used	VB
275	34	13	to	OO
276	35	13	sleeping	VB
277	36	13	on	OO
278	37	13	his	JJ
279	38	13	right	NN
280	39	13	,	OO
281	40	13	and	OO
282	41	13	in	OO
283	42	13	his	JJ
284	43	13	present	JJ
285	44	13	state	NN
286	45	13	could	VB
287	46	13	n't	RB
288	47	13	get	VB
289	48	13	into	OO
290	49	13	that	OO
291	50	13	position	NN
292	51	13	.	OO
293	1	14	However	RB
294	2	14	hard	RB
295	3	14	he	NN
296	4	14	threw	VB
297	5	14	himself	NN
298	6	14	onto	OO
299	7	14	his	JJ
300	8	14	right	NN
301	9	14	,	OO
302	10	14	he	NN
303	11	14	always	RB
304	12	14	rolled	VB
305	13	14	back	RB
306	14	14	to	OO
307	15	14	where	RB
308	16	14	he	NN
309	17	14	was	VB
310	18	14	.	OO
311	1	15	He	NN
312	2	15	must	VB
313	3	15	have	VB
314	4	15	tried	VB
315	5	15	it	NN
316	6	15	a	OO
317	7	15	hundred	OO
318	8	15	times	NN
319	9	15	,	OO
320	10	15	shut	VB
321	11	15	his	JJ
322	12	15	eyes	NN
323	13	15	so	OO
324	14	15	that	OO
325	15	15	he	NN
326	16	15	would	VB
327	17	15	n't	RB
328	18	15	have	VB
329	19	15	to	OO
330	20	15	look	VB
331	21	15	at	OO
332	22	15	the	OO
333	23	15	floundering	VB
334	24	15	legs	NN
335	25	15	,	OO
336	26	15	and	OO
337	27	15	only	RB
338	28	15	stopped	VB
339	29	15	when	RB
340	30	15	he	NN
341	31	15	began	VB
342	32	15	to	OO
343	33	15	feel	VB
344	34	15	a	OO
345	35	15	mild	JJ
346	36	15	,	OO
347	37	15	dull	JJ
348	38	15	pain	NN
349	39	15	there	RB
350	40	15	that	OO
351	41	15	he	NN
352	42	15	had	VB
353	43	15	never	RB
354	44	15	felt	VB
355	45	15	before	OO
356	46	15	.	OO
357	1	16	``	OO
358	2	16	Oh	OO
359	3	16	,	OO
360	4	16	God	NN
361	5	16	''	OO
362	6	16	,	OO
363	7	16	he	NN
364	8	16	thought	VB
365	9	16	,	OO
366	10	16	``	OO
367	11	16	what	NN
368	12	16	a	OO
369	13	16	strenuous	JJ
370	14	16	career	NN
371	15	16	it	NN
372	16	16	is	VB
373	17	16	that	OO
374	18	16	I	NN
375	19	16	've	VB
376	20	16	chosen	VB
377	21	16	!	OO
378	1	17	Travelling	VB
379	2	17	day	NN
380	3	17	in	OO
381	4	17	and	OO
382	5	17	day	NN
383	6	17	out	RB
384	7	17	.	OO
385	1	18	Doing	VB
386	2	18	business	NN
387	3	18	like	OO
388	4	18	this	OO
389	5	18	takes	VB
390	6	18	much	RB
391	7	18	more	RB
392	8	18	effort	NN
393	9	18	than	OO
394	10	18	doing	VB
395	11	18	your	JJ
396	12	18	own	JJ
397	13	18	business	NN
398	14	18	at	OO
399	15	18	home	NN
400	16	18	,	OO
401	17	18	and	OO
402	18	18	on	OO
403	19	18	top	NN
404	20	18	of	OO
405	21	18	that	OO
406	22	18	there	OO
407	23	18	's	VB
408	24	18	the	OO
409	25	18	curse	NN
410	26	18	of	OO
411	27	18	travelling	VB
412	28	18	,	OO
413	29	18	worries	VB
414	30	18	about	OO
415	31	18	making	VB
416	32	18	train	NN
417	33	18	connections	NN
418	34	18	,	OO
419	35	18	bad	JJ
420	36	18	and	OO
421	37	18	irregular	JJ
422	38	18	food	NN
423	39	18	,	OO
424	40	18	contact	NN
425	41	18	with	OO
426	42	18	different	JJ
427	43	18	people	NN
428	44	18	all	OO
429	45	18	the	OO
430	46	18	time	NN
431	47	18	so	OO
432	48	18	that	OO
433	49	18	you	NN
434	50	18	can	VB
435	51	18	never	RB
436	52	18	get	VB
437	53	18	to	OO
438	54	18	know	VB
439	55	18	anyone	NN
440	56	18	or	OO
441	57	18	become	VB
442	58	18	friendly	JJ
443	59	18	with	OO
444	60	18	them	NN
445	61	18	.	OO
446	1	19	It	NN
447	2	19	can	VB
448	3	19	all	RB
449	4	19	go	VB
450	5	19	to	OO
451	6	19	Hell	NN
452	7	19	!	OO
453	8	19	''	OO
454	1	20	He	NN
455	2	20	felt	VB
456	3	20	a	OO
457	4	20	slight	JJ
458	5	20	itch	NN
459	6	20	up	OO
460	7	20	on	OO
461	8	20	his	JJ
462	9	20	belly	NN
463	10	20	;	OO
464	11	20	pushed	VB
465	12	20	himself	NN
466	13	20	slowly	RB
467	14	20	up	RB
468	15	20	on	OO
469	16	20	his	JJ
470	17	20	back	JJ
471	18	20	towards	OO
472	19	20	the	OO
473	20	20	headboard	NN
474	21	20	so	OO
475	22	20	that	OO
476	23	20	he	NN
477	24	20	could	VB
478	25	20	lift	VB
479	26	20	his	JJ
480	27	20	head	NN
481	28	20	better	RB
482	29	20	;	OO
483	30	20	found	VB
484	31	20	where	RB
485	32	20	the	OO
486	33	20	itch	NN
487	34	20	was	VB
488	35	20	,	OO
489	36	20	and	OO
490	37	20	saw	VB
491	38	20	that	OO
492	39	20	it	NN
493	40	20	was	VB
494	41	20	covered	VB
495	42	20	with	OO
496	43	20	lots	NN
497	44	20	of	OO
498	45	20	little	JJ
499	46	20	white	JJ
500	47	20	spots	NN
501	48	20	which	OO
502	49	20	he	NN
503	50	20	did	VB
504	51	20	n't	RB
505	52	20	know	VB
506	53	20	what	NN
507	54	20	to	OO
508	55	20	make	VB
509	56	20	of	OO
510	57	20	;	OO
511	58	20	and	OO
512	59	20	when	RB
513	60	20	he	NN
514	61	20	tried	VB
515	62	20	to	OO
516	63	20	feel	VB
517	64	20	the	OO
518	65	20	place	NN
519	66	20	with	OO
520	67	20	one	OO
521	68	20	of	OO
522	69	20	his	JJ
523	70	20	legs	NN
524	71	20	he	NN
525	72	20	drew	VB
526	73	20	it	NN
527	74	20	quickly	RB
528	75	20	back	RB
529	76	20	because	OO
530	77	20	as	RB
531	78	20	soon	RB
532	79	20	as	OO
533	80	20	he	NN
534	81	20	touched	VB
535	82	20	it	NN
536	83	20	he	NN
537	84	20	was	VB
538	85	20	overcome	VB
539	86	20	by	OO
540	87	20	a	OO
541	88	20	cold	JJ
542	89	20	shudder	NN
543	90	20	.	OO
544	1	21	He	NN
545	2	21	slid	VB
546	3	21	back	RB
547	4	21	into	OO
548	5	21	his	JJ
549	6	21	former	JJ
