indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	﻿The	OO
2	2	1	studio	NN
3	3	1	was	VB
4	4	1	filled	VB
5	5	1	with	OO
6	6	1	the	OO
7	7	1	rich	JJ
8	8	1	odour	NN
9	9	1	of	OO
10	10	1	roses	NN
11	11	1	,	OO
12	12	1	and	OO
13	13	1	when	RB
14	14	1	the	OO
15	15	1	light	JJ
16	16	1	summer	NN
17	17	1	wind	NN
18	18	1	stirred	VB
19	19	1	amidst	OO
20	20	1	the	OO
21	21	1	trees	NN
22	22	1	of	OO
23	23	1	the	OO
24	24	1	garden	NN
25	25	1	,	OO
26	26	1	there	OO
27	27	1	came	VB
28	28	1	through	OO
29	29	1	the	OO
30	30	1	open	JJ
31	31	1	door	NN
32	32	1	the	OO
33	33	1	heavy	JJ
34	34	1	scent	NN
35	35	1	of	OO
36	36	1	the	OO
37	37	1	lilac	NN
38	38	1	,	OO
39	39	1	or	OO
40	40	1	the	OO
41	41	1	more	JJ
42	42	1	delicate	JJ
43	43	1	perfume	NN
44	44	1	of	OO
45	45	1	the	OO
46	46	1	pink-flowering	JJ
47	47	1	thorn	NN
48	48	1	.	OO
49	1	2	From	OO
50	2	2	the	OO
51	3	2	corner	NN
52	4	2	of	OO
53	5	2	the	OO
54	6	2	divan	NN
55	7	2	of	OO
56	8	2	Persian	JJ
57	9	2	saddle-bags	NN
58	10	2	on	OO
59	11	2	which	OO
60	12	2	he	NN
61	13	2	was	VB
62	14	2	lying	VB
63	15	2	,	OO
64	16	2	smoking	VB
65	17	2	,	OO
66	18	2	as	OO
67	19	2	was	VB
68	20	2	his	JJ
69	21	2	custom	NN
70	22	2	,	OO
71	23	2	innumerable	JJ
72	24	2	cigarettes	NN
73	25	2	,	OO
74	26	2	Lord	NN
75	27	2	Henry	NN
76	28	2	Wotton	NN
77	29	2	could	VB
78	30	2	just	RB
79	31	2	catch	VB
80	32	2	the	OO
81	33	2	gleam	NN
82	34	2	of	OO
83	35	2	the	OO
84	36	2	honey-sweet	JJ
85	37	2	and	OO
86	38	2	honey-coloured	JJ
87	39	2	blossoms	NN
88	40	2	of	OO
89	41	2	a	OO
90	42	2	laburnum	NN
91	43	2	,	OO
92	44	2	whose	JJ
93	45	2	tremulous	JJ
94	46	2	branches	NN
95	47	2	seemed	VB
96	48	2	hardly	RB
97	49	2	able	JJ
98	50	2	to	OO
99	51	2	bear	VB
100	52	2	the	OO
101	53	2	burden	NN
102	54	2	of	OO
103	55	2	a	OO
104	56	2	beauty	NN
105	57	2	so	RB
106	58	2	flamelike	JJ
107	59	2	as	OO
108	60	2	theirs	NN
109	61	2	;	OO
110	62	2	and	OO
111	63	2	now	RB
112	64	2	and	OO
113	65	2	then	RB
114	66	2	the	OO
115	67	2	fantastic	JJ
116	68	2	shadows	NN
117	69	2	of	OO
118	70	2	birds	NN
119	71	2	in	OO
120	72	2	flight	NN
121	73	2	flitted	VB
122	74	2	across	OO
123	75	2	the	OO
124	76	2	long	JJ
125	77	2	tussore-silk	NN
126	78	2	curtains	NN
127	79	2	that	OO
128	80	2	were	VB
129	81	2	stretched	VB
130	82	2	in	OO
131	83	2	front	NN
132	84	2	of	OO
133	85	2	the	OO
134	86	2	huge	JJ
135	87	2	window	NN
136	88	2	,	OO
137	89	2	producing	VB
138	90	2	a	OO
139	91	2	kind	NN
140	92	2	of	OO
141	93	2	momentary	JJ
142	94	2	Japanese	JJ
143	95	2	effect	NN
144	96	2	,	OO
145	97	2	and	OO
146	98	2	making	VB
147	99	2	him	NN
148	100	2	think	VB
149	101	2	of	OO
150	102	2	those	OO
151	103	2	pallid	JJ
152	104	2	,	OO
153	105	2	jade-faced	JJ
154	106	2	painters	NN
155	107	2	of	OO
156	108	2	Tokyo	NN
157	109	2	who	NN
158	110	2	,	OO
159	111	2	through	OO
160	112	2	the	OO
161	113	2	medium	NN
162	114	2	of	OO
163	115	2	an	OO
164	116	2	art	NN
165	117	2	that	OO
166	118	2	is	VB
167	119	2	necessarily	RB
168	120	2	immobile	RB
169	121	2	,	OO
170	122	2	seek	VB
171	123	2	to	OO
172	124	2	convey	VB
173	125	2	the	OO
174	126	2	sense	NN
175	127	2	of	OO
176	128	2	swiftness	NN
177	129	2	and	OO
178	130	2	motion	NN
179	131	2	.	OO
180	1	3	The	OO
181	2	3	sullen	JJ
182	3	3	murmur	NN
183	4	3	of	OO
184	5	3	the	OO
185	6	3	bees	NN
