indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	In	OO
2	2	1	a	OO
3	3	1	day	NN
4	4	1	of	OO
5	5	1	protests	NN
6	6	1	in	OO
7	7	1	Egypt	NN
8	8	1	,	OO
9	9	1	hundreds	NN
10	10	1	of	OO
11	11	1	thousands	NN
12	12	1	of	OO
13	13	1	people	NN
14	14	1	marched	VB
15	15	1	in	OO
16	16	1	the	OO
17	17	1	streets	NN
18	18	1	on	OO
19	19	1	January	NN
20	20	1	25th	OO
21	21	1	facing	VB
22	22	1	down	OO
23	23	1	riot	NN
24	24	1	police	NN
25	25	1	,	OO
26	26	1	water	NN
27	27	1	cannons	NN
28	28	1	,	OO
29	29	1	baton	NN
30	30	1	charges	NN
31	31	1	and	OO
32	32	1	tear	VB
33	33	1	gas	NN
34	34	1	.	OO
35	1	2	The	OO
36	2	2	people	NN
37	3	2	are	VB
38	4	2	chanting	VB
39	5	2	for	OO
40	6	2	freedom	NN
41	7	2	and	OO
42	8	2	an	OO
43	9	2	end	NN
44	10	2	to	OO
45	11	2	the	OO
46	12	2	corrupt	JJ
47	13	2	administration	NN
48	14	2	of	OO
49	15	2	Hosni	NN
50	16	2	Mubarak	NN
51	17	2	,	OO
52	18	2	who	NN
53	19	2	has	VB
54	20	2	been	VB
55	21	2	in	OO
56	22	2	power	NN
57	23	2	for	OO
58	24	2	30	OO
59	25	2	years	NN
60	26	2	,	OO
61	27	2	with	OO
62	28	2	the	OO
63	29	2	demand	NN
64	30	2	that	OO
65	31	2	he	NN
66	32	2	join	VB
67	33	2	the	OO
68	34	2	Tunisian	JJ
69	35	2	dictator	NN
70	36	2	Ben	NN
71	37	2	Ali	NN
72	38	2	in	OO
73	39	2	Saudi	NN
74	40	2	Arabia	NN
75	41	2	.	OO
76	1	3	By	OO
77	2	3	mid-afternoon	NN
78	3	3	,	OO
79	4	3	the	OO
80	5	3	Egyptian	JJ
81	6	3	government	NN
82	7	3	had	VB
83	8	3	blocked	VB
84	9	3	Twitter	RB
85	10	3	,	OO
86	11	3	websites	NN
87	12	3	of	OO
88	13	3	independent	JJ
89	14	3	newspapers	NN
90	15	3	and	OO
91	16	3	live	VB
92	17	3	streaming	VB
93	18	3	application	NN
94	19	3	#bambuser	NN
95	20	3	.	OO
96	1	4	There	OO
97	2	4	are	VB
98	3	4	reports	NN
99	4	4	that	OO
100	5	4	phone	NN
101	6	4	lines	NN
102	7	4	used	VB
103	8	4	by	OO
104	9	4	lawyers	NN
105	10	4	and	OO
106	11	4	activists	NN
107	12	4	providing	VB
108	13	4	support	NN
109	14	4	are	VB
110	15	4	also	RB
111	16	4	being	VB
112	17	4	suspended	VB
113	18	4	,	OO
