indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	﻿The	OO
2	2	2	1	European	JJ
3	3	3	1	insurance	NN
4	4	4	1	sector	NN
5	5	5	1	will	VB
6	6	6	1	soon	RB
7	7	7	1	be	VB
8	8	8	1	faced	VB
9	9	9	1	with	OO
10	10	10	1	the	OO
11	11	11	1	application	NN
12	12	12	1	of	OO
13	13	13	1	Solvency	NN
14	14	14	1	2	OO
15	15	15	1	regulation	NN
16	16	16	1	norms	NN
17	17	17	1	.	OO
18	18	1	2	It	NN
19	19	2	2	will	VB
20	20	3	2	create	VB
21	21	4	2	a	OO
22	22	5	2	real	JJ
23	23	6	2	change	NN
24	24	7	2	in	OO
25	25	8	2	risk	NN
26	26	9	2	management	NN
27	27	10	2	practices	NN
28	28	11	2	.	OO
29	29	1	3	The	OO
30	30	2	3	ORSA	NN
31	31	3	3	approach	NN
32	32	4	3	of	OO
33	33	5	3	the	OO
34	34	6	3	second	JJ
35	35	7	3	pillar	NN
36	36	8	3	makes	VB
37	37	9	3	the	OO
38	38	10	3	capital	NN
39	39	11	3	allocation	NN
40	40	12	3	an	OO
41	41	13	3	important	JJ
42	42	14	3	exercise	NN
43	43	15	3	for	OO
44	44	16	3	all	OO
45	45	17	3	insurers	NN
46	46	18	3	and	OO
47	47	19	3	specially	RB
48	48	20	3	for	OO
49	49	21	3	groups	NN
50	50	22	3	.	OO
51	51	1	4	Considering	VB
52	52	2	4	multi-branches	NN
53	53	3	4	firms	NN
54	54	4	4	,	OO
55	55	5	4	capital	NN
56	56	6	4	allocation	NN
57	57	7	4	has	VB
58	58	8	4	to	OO
59	59	9	4	be	VB
60	60	10	4	based	VB
61	61	11	4	on	OO
62	62	12	4	a	OO
63	63	13	4	multivariate	JJ
64	64	14	4	risk	NN
65	65	15	4	modeling	NN
66	66	16	4	.	OO
67	67	1	5	Several	JJ
68	68	2	5	allocation	NN
69	69	3	5	methods	NN
70	70	4	5	are	VB
71	71	5	5	present	JJ
72	72	6	5	in	OO
73	73	7	5	the	OO
74	74	8	5	literature	NN
75	75	9	5	and	OO
76	76	10	5	insurers	NN
77	77	11	5	practices	NN
78	78	12	5	.	OO
79	79	1	6	In	OO
80	80	2	6	this	OO
81	81	3	6	paper	NN
82	82	4	6	,	OO
83	83	5	6	we	NN
84	84	6	6	present	VB
85	85	7	6	a	OO
86	86	8	6	new	JJ
87	87	9	6	risk	NN
88	88	10	6	allocation	NN
89	89	11	6	method	NN
90	90	12	6	,	OO
91	91	13	6	we	NN
92	92	14	6	study	VB
93	93	15	6	its	JJ
94	94	16	6	coherence	NN
95	95	17	6	using	VB
96	96	18	6	an	OO
97	97	19	6	axiomatic	JJ
98	98	20	6	approach	NN
99	99	21	6	,	OO
100	100	22	6	and	OO
101	101	23	6	we	NN
102	102	24	6	try	VB
103	103	25	6	to	OO
104	104	26	6	define	VB
105	105	27	6	what	NN
106	106	28	6	the	OO
107	107	29	6	best	JJ
108	108	30	6	allocation	NN
109	109	31	6	choice	NN
110	110	32	6	for	OO
111	111	33	6	an	OO
112	112	34	6	insurance	NN
113	113	35	6	group	NN
114	114	36	6	is	VB
115	115	37	6	.	OO
116	116	1	7	Introduction	NN
117	117	2	7	Solvency	NN
118	118	3	7	2	OO
119	119	4	7	standards	NN
120	120	5	7	will	VB
121	121	6	7	make	VB
122	122	7	7	a	OO
123	123	8	7	radical	JJ
124	124	9	7	change	NN
125	125	10	7	in	OO
