indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	2	Real	JJ
2	2	2	world	NN
3	3	2	networks	NNS
4	4	2	are	VBP
5	5	2	often	RB
6	6	2	large—	JJ
7	7	2	there	EX
8	8	2	are	VBP
9	9	2	tens	NNS
10	10	2	of	IN
11	11	2	thousands	NNS
12	12	2	of	IN
13	13	2	human	JJ
14	14	2	genes	NNS
15	15	2	and	CC
16	16	2	trillions	NNS
17	17	2	of	IN
18	18	2	connections	NNS
19	19	2	in	IN
20	20	2	the	DT
21	21	2	human	JJ
22	22	2	brain	NN
23	23	2	.	.
24	1	3	Such	JJ
25	2	3	scales	NNS
26	3	3	make	VBP
27	4	3	human	JJ
28	5	3	visual	JJ
29	6	3	processing	NN
30	7	3	of	IN
31	8	3	and	CC
32	9	3	decision	NN
33	10	3	making	VBG
34	11	3	with	IN
35	12	3	the	DT
36	13	3	whole	JJ
37	14	3	network	NN
38	15	3	prohibitive	JJ
39	16	3	.	.
40	1	4	This	DT
41	2	4	paper	NN
42	3	4	investigates	VBZ
43	4	4	algorithms	NNS
44	5	4	to	TO
45	6	4	identify	VB
46	7	4	provably	RB
47	8	4	good	JJ
48	9	4	approximations	NNS
49	10	4	of	IN
50	11	4	the	DT
51	12	4	network	NN
52	13	4	topology	NN
53	14	4	,	,
54	15	4	which	WDT
55	16	4	capture	VBP
56	17	4	important	JJ
57	18	4	system	NN
58	19	4	dynamics	NNS
59	20	4	while	IN
60	21	4	significantly	RB
61	22	4	reducing	VBG
62	23	4	the	DT
63	24	4	number	NN
64	25	4	of	IN
65	26	4	edges	NNS
66	27	4	to	TO
67	28	4	enable	VB
68	29	4	tractable	JJ
69	30	4	analysis	NN
70	31	4	.	.
71	32	4	1	CD
72	33	4	arXiv:1506.04767v1	NN
73	34	4	[	-LRB-
74	35	4	cs	NN
75	36	4	.	.
76	1	5	IT	NN
77	2	5	]	-RRB-
78	3	5	15	CD
79	4	5	Jun	NNP
80	5	5	2015	CD
81	6	5	Quinn	NNP
82	7	5	,	,
83	8	5	Pinar	NNP
84	9	5	,	,
85	10	5	and	CC
86	11	5	Kiyavash	NNP
87	1	6	Across	IN
88	2	6	different	JJ
89	3	6	domains	NNS
90	4	6	,	,
91	5	6	edges	NNS
92	6	6	are	VBP
93	7	6	used	VBN
94	8	6	to	IN
95	9	6	model	VB
96	10	6	various	JJ
97	11	6	kinds	NNS
98	12	6	of	IN
99	13	6	ties	NNS
100	14	6	such	JJ
101	15	6	as	IN
102	16	6	physical	JJ
103	17	6	connections	NNS
104	18	6	or	CC
105	19	6	dynamic	JJ
106	20	6	relationships	NNS
107	21	6	.	.
108	1	7	For	IN
109	2	7	instance	NN
110	3	7	,	,
111	4	7	in	IN
112	5	7	depicting	VBG
113	6	7	a	DT
114	7	7	computer	NN
115	8	7	network	NN
116	9	7	,	,
117	10	7	an	DT
118	11	7	edge	NN
119	12	7	might	MD
120	13	7	correspond	VB
121	14	7	to	IN
122	15	7	a	DT
123	16	7	physical	JJ
124	17	7	wire	NN
125	18	7	or	CC
126	19	7	a	DT
127	20	7	packet	NN
128	21	7	exchange	NN
129	22	7	between	IN
130	23	7	a	DT
131	24	7	sender	NN
132	25	7	and	CC
133	26	7	a	DT
134	27	7	receiver	NN
135	28	7	.	.
136	1	8	For	IN
