indexInText	indexInSentence	sentenceNumber	token	posTag	lemma
1	1	1	The	DT	The
2	2	1	issue	NN	issue
3	3	1	of	IN	of
4	4	1	capital	NN	capital
5	5	1	allocation	NN	allocation
6	6	1	in	IN	in
7	7	1	a	DT	a
8	8	1	multivariate	NN	multivariate
9	9	1	context	NN	context
10	10	1	arises	VBZ	arise
11	11	1	from	IN	from
12	12	1	the	DT	the
13	13	1	presence	NN	presence
14	14	1	of	IN	of
15	15	1	dependence	NN	dependence
16	16	1	between	IN	between
17	17	1	the	DT	the
18	18	1	various	JJ	various
19	19	1	risky	JJ	risky
20	20	1	activities	NNS	activity
21	21	1	in	IN	in
22	22	1	Section	NNP	Section
23	23	1	2.4.5	CD	2.4.5
24	24	1	which	WDT	which
25	25	1	may	MD	may
26	26	1	generate	VB	generate
27	27	1	a	DT	a
28	28	1	diversification	NN	diversification
29	29	1	effect	NN	effect
30	30	1	.	.	.
31	1	2	The	DT	The
32	2	2	following	JJ	following
33	3	2	command	NN	command
34	4	2	generates	NNS	generates
35	5	2	nlp4j.txt.nlp	VBP	nlp4j.txt.nlp
36	6	2	.	.	.
37	1	3	It	PRP	It
38	2	3	uses	VBZ	use
39	3	3	config-decode-en.xml	NN	config-decode-en.xml
40	4	3	.	.	.
41	1	4	Capital	NN	Capital
42	2	4	allocation	NN	allocation
43	3	4	is	VBZ	be
44	4	4	an	DT	an
45	5	4	internal	JJ	internal
46	6	4	exercise	NN	exercise
47	7	4	calculated	VBN	calculate
48	8	4	by	IN	by
49	9	4	class	NN	class
50	10	4	method	NN	method
51	11	4	scr.capital	NN	scr.capital
52	12	4	(	(	(
53	13	4	)	)	)
54	14	4	,	,	,
55	15	4	certainly	RB	certainly
56	16	4	not	RB	not
57	17	4	controlled	VBN	control
58	18	4	by	IN	by
59	19	4	the	DT	the
60	20	4	first	JJ	first
61	21	4	pillar	NN	pillar
62	22	4	.	.	.
63	1	5	Several	JJ	Several
64	2	5	allocation	NN	allocation
65	3	5	methods	NNS	method
66	4	5	in	IN	in
67	5	5	the	DT	the
68	6	5	literature	NN	literature
69	7	5	use	NN	use
70	8	5	w=	NN	w=
71	9	5	(	(	(
72	10	5	l1	JJ	l1
73	11	5	[	NN	[
74	12	5	i	NN	i
75	13	5	]	VBP	]
76	14	5	,	,	,
77	15	5	p1	JJ	p1
78	16	5	[	NNP	[
79	17	5	j	NN	j
80	18	5	]	NN	]
81	19	5	)	)	)
82	20	5	to	TO	to
83	21	5	initialize	VB	initialize
84	22	5	the	DT	the
85	23	5	choice	NN	choice
86	24	5	of	IN	of
87	25	5	a	DT	a
88	26	5	univariate	JJ	univariate
89	27	5	risk	NN	risk
90	28	5	measure	NN	measure
91	29	5	.	.	.
92	1	6	The	DT	The
93	2	6	Shapley	NNP	Shapley
94	3	6	method	NN	method
95	4	6	of	IN	of
96	5	6	both	DT	both
97	6	6	sides	NNS	side
98	7	6	of	IN	of
99	8	6	Eqs	NNP	Eqs
100	9	6	.	.	.
101	1	7	(	(	(
102	2	7	6	CD	6
103	3	7	)	)	)
104	4	7	–	NN	–
105	5	7	(	(	(
106	6	7	14	CD	14
107	7	7	)	)	)
108	8	7	is	VBZ	be
109	9	7	based	VBN	base
