indexInText	indexInSentence	sentenceNumber	token	posTag	lemma	neTag
1	1	2	Solvency	NN	solvency	
2	2	2	2	CD	2	CARDINAL
3	3	2	standards	NNS	standard	
4	4	2	will	MD	will	
5	5	2	make	VB	make	
6	6	2	a	DT	a	
7	7	2	radical	JJ	radical	
8	8	2	change	NN	change	
9	9	2	in	IN	in	
10	10	2	risk	NN	risk	
11	11	2	co	IN	co	
12	12	2	-	HYPH	-	
13	13	2	management	NN	management	
14	14	2	practices	NNS	practice	
15	15	2	in	IN	in	
16	16	2	the	DT	the	
17	17	2	actuarial	JJ	actuarial	
18	18	2	sector	NN	sector	
19	19	2	.	.	.	
20	1	3	They	PRP	they	
21	2	3	are	VBP	be	
22	3	3	based	VBN	base	
23	4	3	on	IN	on	
24	5	3	a	DT	a	
25	6	3	strengthening	NN	strengthening	
26	7	3	of	IN	of	
27	8	3	risk	NN	risk	
28	9	3	control	NN	control	
29	10	3	and	CC	and	
30	11	3	minimization	NN	minimization	
31	12	3	of	IN	of	
32	13	3	a	DT	a	
33	14	3	ruin	NN	ruin	
34	15	3	probability	NN	probability	
35	16	3	,	,	,	
36	17	3	Boolean	NNP	boolean	NORP
37	18	3	et	NNP	et	
38	19	3	al	NNP	al	
39	20	3	.	.	.	
40	1	4	first	RB	first	
41	2	4	introduced	VBN	introduce	
42	3	4	this	DT	this	
43	4	4	method	NN	method	
44	5	4	.	.	.	
45	1	5	The	DT	the	
46	2	5	determination	NN	determination	
47	3	5	of	IN	of	
48	4	5	the	DT	the	
49	5	5	economic	JJ	economic	
50	6	5	regulatory	JJ	regulatory	
51	7	5	capital	NN	capital	
52	8	5	in	IN	in	
53	9	5	the	DT	the	
54	10	5	U.S.A.	NNP	u.s.a.	
55	11	5	will	MD	will	
56	12	5	be	VB	be	
57	13	5	faced	VBN	face	
58	14	5	under	IN	under	
59	15	5	this	DT	this	
60	16	5	prudential	JJ	prudential	
61	17	5	mechanism	NN	mechanism	
62	18	5	with	IN	with	
63	19	5	magnitude	NN	magnitude	
64	20	5	of	IN	of	
65	21	5	12,345.24	CD	12,345.24	
66	22	5	dollars/capita	NNP	dollars/capita	
67	23	5	,	,	,	
68	24	5	a	DT	a	
69	25	5	kind	NN	kind	
70	26	5	of	IN	of	
71	27	5	methodological	JJ	methodological	
72	28	5	revolution	NN	revolution	
73	29	5	.	.	.	
74	1	6	A	DT	a	
75	2	6	choices	NNS	choice	
76	3	6	of	IN	of	
77	4	6	a	DT	a	
78	5	6	dependence	NN	dependence	
79	6	6	model	NN	model	
80	7	6	illustrated	VBN	illustrate	
81	8	6	in	IN	in	
82	9	6	Fig	NNP	fig	LOC
83	10	6	.	.	.	
84	11	6	1	CD	1	CARDINAL
85	12	6	(	-LRB-	(	
86	13	6	for	IN	for	
87	14	6	more	JJR	more	
88	15	6	details	NNS	detail	
89	16	6	see	VB	see	
90	17	6	Fig	NNP	fig	ORG
91	18	6	.	.	.	
92	1	7	4	LS	4	CARDINAL
93	2	7	)	-RRB-	)	
94	3	7	between	IN	between	
