indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	WILLOW	NN
2	3	3	1	Constance	NN
3	4	4	1	Walz	NN
4	5	5	1	stopped	VB
5	6	6	1	to	OO
6	7	7	1	watch	VB
7	8	8	1	a	OO
8	9	9	1	firefighting	NN
9	10	10	1	helicopter	NN
10	11	11	1	as	OO
11	12	12	1	she	NN
12	13	13	1	moved	VB
13	14	14	1	wood	NN
14	15	15	1	away	RB
15	16	16	1	from	OO
16	17	17	1	the	OO
17	18	18	1	converted	VB
18	19	19	1	bus	NN
19	20	20	1	she	NN
20	21	21	1	shares	VB
21	22	22	1	with	OO
22	23	23	1	her	JJ
23	24	24	1	seventoed	JJ
24	25	25	1	cat	NN
25	27	1	2	Walz	NN
26	28	2	2	is	VB
27	29	3	2	part	NN
28	30	4	2	of	OO
29	31	5	2	a	OO
30	32	6	2	much	JJ
31	33	7	2	larger	JJ
32	34	8	2	brigade	NN
33	35	9	2	of	OO
34	36	10	2	Willow	NN
35	37	11	2	residents	NN
36	38	12	2	staying	VB
37	39	13	2	put	VB
38	40	14	2	instead	RB
39	41	15	2	of	OO
40	42	16	2	evacuating	VB
41	43	17	2	from	OO
42	44	18	2	the	OO
43	45	19	2	Sockeye	NN
44	46	20	2	fire	NN
45	48	22	2	an	OO
46	49	23	2	uncontrolled	JJ
47	50	24	2	wildland	NN
48	51	25	2	conflagration	NN
49	52	26	2	that	OO
50	53	27	2	s	VB
51	54	28	2	so	RB
52	55	29	2	far	RB
53	56	30	2	destroyed	VB
54	57	31	2	50	OO
55	58	32	2	to	OO
56	59	33	2	100	OO
57	60	34	2	structures	NN
58	61	35	2	and	OO
59	62	36	2	burned	VB
60	63	37	2	across	OO
61	64	38	2	more	JJ
62	65	39	2	than	OO
63	66	40	2	7500	OO
64	67	41	2	acres	NN
65	68	42	2	since	OO
66	69	43	2	Sunday	NN
67	72	2	3	This	OO
68	73	3	3	is	VB
69	74	4	3	our	JJ
70	75	5	3	home	NN
71	78	8	3	she	NN
72	79	9	3	said	VB
73	80	10	3	Tuesday	NN
74	82	12	3	standing	VB
75	83	13	3	in	OO
76	84	14	3	her	JJ
77	85	15	3	driveway	NN
78	86	16	3	wearing	VB
79	87	17	3	a	OO
80	88	18	3	sleeveless	JJ
81	89	19	3	blouse	NN
82	90	20	3	and	OO
83	91	21	3	opentoed	JJ
84	92	22	3	sandals	NN
85	95	2	4	Until	OO
86	96	3	4	it	NN
87	97	4	4	s	VB
88	98	5	4	in	OO
89	99	6	4	my	JJ
90	100	7	4	backyard	NN
91	101	8	4	and	OO
92	102	9	4	that	OO
93	103	10	4	rubber	NN
94	104	11	4	is	VB
95	105	12	4	melting	VB
96	106	13	4	on	OO
97	107	14	4	my	JJ
98	108	15	4	truck	NN
99	109	16	4	I	NN
100	110	17	4	m	VB
101	111	18	4	not	RB
102	112	19	4	going	VB
103	113	20	4	anywhere	RB
104	115	1	5	We	NN
105	116	2	5	ve	VB
106	117	3	5	got	VB
107	118	4	5	to	OO
108	119	5	5	protect	VB
109	120	6	5	the	OO
110	121	7	5	neighborhood	NN
111	123	1	6	Who	NN
112	124	2	6	else	RB
113	125	3	6	is	VB
114	126	4	6	going	VB
115	127	5	6	to	OO
116	130	1	7	The	OO
117	131	2	7	flames	NN
118	132	3	7	came	VB
119	133	4	7	close	RB
120	134	5	7	to	OO
121	135	6	7	this	OO
122	136	7	7	neighborhood	NN
123	137	8	7	on	OO
124	138	9	7	the	OO
125	139	10	7	fire	NN
126	140	11	7	s	OO
127	141	12	7	northern	JJ
128	142	13	7	edge	NN
129	143	14	7	Monday	NN
130	144	15	7	night	NN
131	146	1	8	A	OO
132	147	2	8	wind	NN
133	148	3	8	shift	NN
134	149	4	8	pushed	VB
135	150	5	8	flames	NN
136	151	6	8	from	OO
137	152	7	8	the	OO
138	153	8	8	next	JJ
139	154	9	8	road	NN
140	155	10	8	south	RB
141	157	12	8	West	JJ
142	158	13	8	Sockeye	NN
143	159	14	8	Avenue	NN
144	161	16	8	near	OO
145	162	17	8	where	RB
146	163	18	8	the	OO
147	164	19	8	fire	NN
148	165	20	8	started	VB
149	167	22	8	and	OO
150	168	23	8	toward	OO
151	169	24	8	the	OO
152	170	25	8	rural	JJ
153	171	26	8	West	NN
154	172	27	8	Sheep	NN
155	173	28	8	Creek	NN
156	174	29	8	Drive	NN
157	175	30	8	neighborhood	NN
158	176	31	8	where	RB
159	177	32	8	Walz	NN
160	178	33	8	lives	VB
161	180	35	8	amid	OO
162	181	36	8	a	OO
163	182	37	8	thick	JJ
164	183	38	8	canopy	NN
165	184	39	8	of	OO
166	185	40	8	the	OO
167	186	41	8	same	JJ
168	187	42	8	black	JJ
169	188	43	8	spruce	VB
170	189	44	8	that	OO
171	190	45	8	this	OO
172	191	46	8	fire	NN
173	192	47	8	blows	NN
174	193	48	8	through	OO
175	194	49	8	like	OO
176	195	50	8	standing	VB
177	196	51	8	tinder	NN
178	198	1	9	Alaska	NN
179	199	2	9	State	NN
180	200	3	9	Troopers	NN
181	201	4	9	told	VB
182	202	5	9	the	OO
183	203	6	9	scattered	VB
184	204	7	9	residents	NN
185	205	8	9	along	OO
186	206	9	9	the	OO
187	207	10	9	gravel	NN
188	208	11	9	road	NN
189	209	12	9	to	OO
190	210	13	9	evacuate	VB
191	212	1	10	Walz	NN
192	213	2	10	lost	VB
193	214	3	10	her	JJ
194	215	4	10	home	NN
195	216	5	10	in	OO
196	217	6	10	the	OO
197	218	7	10	1996	OO
198	219	8	10	Miller	NN
199	220	9	10	s	OO
200	221	10	10	Reach	NN
201	222	11	10	fire	NN
202	223	12	10	that	OO
203	224	13	10	destroyed	VB
204	225	14	10	more	JJ
205	226	15	10	than	OO
206	227	16	10	400	OO
207	230	2	11	I	NN
208	231	3	11	told	VB
209	232	4	11	him	NN
210	233	5	11	I	NN
211	234	6	11	was	VB
212	235	7	11	nt	RB
213	236	8	11	leaving	VB
214	239	11	11	she	NN
215	240	12	11	said	VB
216	243	2	12	They	NN
217	244	3	12	said	VB
218	245	4	12	it	NN
219	246	5	12	was	VB
220	247	6	12	voluntary	JJ
221	248	7	12	anyway	RB
222	251	1	13	This	OO
223	252	2	13	fire	NN
224	254	4	13	however	RB
225	256	6	13	is	VB
226	257	7	13	expected	VB
227	258	8	13	to	OO
228	259	9	13	turn	VB
229	260	10	13	ugly	JJ
230	261	11	13	again	RB
231	263	1	14	Forecasts	NN
232	264	2	14	called	VB
233	265	3	14	for	OO
234	266	4	14	extreme	JJ
235	267	5	14	behavior	NN
236	268	6	14	Tuesday	NN
237	269	7	14	night	NN
238	270	8	14	due	JJ
239	271	9	14	to	OO
240	272	10	14	thunderstorms	NN
241	273	11	14	and	OO
242	274	12	14	erratic	JJ
243	275	13	14	winds	NN
244	277	1	15	The	OO
245	278	2	15	crews	NN
246	279	3	15	fighting	VB
247	280	4	15	the	OO
248	281	5	15	fire	NN
249	282	6	15	acknowledge	VB
250	283	7	15	the	OO
251	284	8	15	state	NN
252	285	9	15	s	OO
253	286	10	15	general	JJ
254	287	11	15	policy	NN
255	288	12	15	against	OO
256	289	13	15	mandatory	JJ
257	290	14	15	evacuations	NN
258	292	1	16	But	OO
259	293	2	16	they	NN
260	294	3	16	do	VB
261	295	4	16	nt	RB
262	296	5	16	like	VB
263	297	6	16	it	NN
264	299	8	16	officials	NN
265	300	9	16	say	VB
266	302	11	16	because	OO
267	303	12	16	homeowners	NN
268	304	13	16	may	VB
269	305	14	16	misjudge	VB
270	306	15	16	the	OO
271	307	16	16	danger	NN
272	310	2	17	The	OO
273	311	3	17	troopers	NN
274	312	4	17	are	VB
275	313	5	17	very	RB
276	314	6	17	cautious	JJ
277	315	7	17	in	OO
278	316	8	17	advising	VB
279	317	9	17	us	NN
280	318	10	17	that	OO
281	319	11	17	evacuations	NN
282	320	12	17	are	VB
283	321	13	17	voluntary	JJ
284	324	16	17	Tom	NN
285	325	17	17	Kurth	NN
286	327	19	17	incident	NN
287	328	20	17	commander	NN
288	329	21	17	on	OO
289	330	22	17	the	OO
290	331	23	17	fire	NN
291	333	25	17	said	VB
292	334	26	17	during	OO
293	335	27	17	a	OO
294	336	28	17	press	NN
295	337	29	17	conference	NN
296	338	30	17	Tuesday	NN
297	341	2	18	Now	RB
298	343	4	18	that	OO
299	344	5	18	s	VB
300	345	6	18	not	RB
301	346	7	18	our	JJ
302	347	8	18	advice	NN
303	350	1	19	Approaching	VB
304	351	2	19	fires	NN
305	352	3	19	throw	VB
306	353	4	19	off	OO
307	354	5	19	voluminous	JJ
308	355	6	19	smoke	NN
309	357	8	19	and	OO
310	358	9	19	then	RB
311	359	10	19	turbulence	NN
312	360	11	19	starts	VB
313	362	13	19	Kurth	NN
314	363	14	19	said	VB
315	365	1	20	That	OO
316	366	2	20	s	VB
317	367	3	20	when	RB
318	368	4	20	some	OO
319	369	5	20	holdouts	NN
320	370	6	20	decide	VB
321	371	7	20	to	OO
322	372	8	20	leave	VB
323	373	9	20	home	NN
324	376	12	20	Out	OO
325	377	13	20	they	NN
326	378	14	20	come	VB
327	381	17	20	he	NN
328	382	18	20	said	VB
329	385	2	21	They	NN
330	386	3	21	re	VB
331	387	4	21	in	OO
332	388	5	21	the	OO
333	389	6	21	smoke	NN
334	391	1	22	We	NN
335	392	2	22	re	VB
336	393	3	22	in	OO
337	394	4	22	the	OO
338	395	5	22	smoke	NN
339	397	1	23	It	NN
340	398	2	23	s	VB
341	399	3	23	a	OO
342	400	4	23	very	RB
343	401	5	23	dangerous	JJ
344	402	6	23	environment	NN
345	403	7	23	to	OO
346	404	8	23	operate	VB
347	405	9	23	in	OO
348	408	1	24	Alaska	NN
349	409	2	24	Wildlife	NN
350	410	3	24	Trooper	NN
351	411	4	24	Thomas	NN
352	412	5	24	Akelkok	NN
353	413	6	24	spent	VB
354	414	7	24	Tuesday	NN
355	415	8	24	guarding	VB
356	416	9	24	against	OO
357	417	10	24	looters	NN
358	418	11	24	and	OO
359	419	12	24	checking	VB
360	420	13	24	on	OO
361	421	14	24	people	NN
362	422	15	24	who	NN
363	423	16	24	stayed	VB
364	424	17	24	behind	OO
365	425	18	24	despite	OO
366	426	19	24	an	OO
367	427	20	24	evacuation	NN
368	428	21	24	advisory	NN
369	429	22	24	that	OO
370	430	23	24	now	RB
371	431	24	24	covers	VB
372	432	25	24	a	OO
373	433	26	24	15mile	JJ
374	434	27	24	corridor	NN
375	435	28	24	along	OO
376	436	29	24	the	OO
377	437	30	24	Parks	NN
378	438	31	24	Highway	NN
379	440	1	25	Akelkok	NN
380	442	3	25	a	OO
381	443	4	25	Ekwok	NN
382	444	5	25	native	NN
383	445	6	25	who	NN
384	446	7	25	brings	VB
385	447	8	25	a	OO
386	448	9	25	goodnatured	JJ
387	449	10	25	personality	NN
388	450	11	25	to	OO
389	451	12	25	the	OO
390	452	13	25	job	NN
391	454	15	25	drove	VB
392	455	16	25	down	OO
393	456	17	25	a	OO
394	457	18	25	long	JJ
395	458	19	25	driveway	NN
396	459	20	25	near	OO
397	460	21	25	Capitol	NN
398	461	22	25	Speedway	NN
399	462	23	25	to	OO
400	463	24	25	check	VB
401	464	25	25	on	OO
402	465	26	25	a	OO
403	466	27	25	home	NN
404	468	1	26	Skeletal	JJ
405	469	2	26	charred	VB
406	470	3	26	spruce	VB
407	471	4	26	trees	NN
408	472	5	26	stood	VB
409	473	6	26	like	OO
410	474	7	26	spikes	NN
411	475	8	26	in	OO
412	476	9	26	a	OO
413	477	10	26	moonscape	NN
414	478	11	26	of	OO
415	479	12	26	gray	JJ
416	481	1	27	Occasional	JJ
417	482	2	27	whiffs	NN
418	483	3	27	of	OO
419	484	4	27	smoke	NN
420	485	5	27	emerged	VB
421	486	6	27	from	OO
422	487	7	27	the	OO
423	488	8	27	incinerated	VB
424	489	9	27	duff	NN
425	491	1	28	The	OO
426	492	2	28	trooper	NN
427	493	3	28	came	VB
428	494	4	28	to	OO
429	495	5	28	the	OO
430	496	6	28	house	NN
431	497	7	28	Sunday	NN
432	498	8	28	as	OO
433	499	9	28	the	OO
434	500	10	28	fire	NN
435	501	11	28	bore	VB
436	502	12	28	down	OO
437	503	13	28	to	OO
438	504	14	28	warn	VB
439	505	15	28	the	OO
440	506	16	28	family	NN
441	507	17	28	inside	OO
442	510	2	29	Behind	OO
443	511	3	29	me	NN
444	513	5	29	I	NN
445	514	6	29	could	VB
446	515	7	29	see	VB
447	516	8	29	it	NN
448	517	9	29	in	OO
449	518	10	29	the	OO
450	519	11	29	rearview	NN
451	520	12	29	mirror	NN
452	523	15	29	Akelkok	NN
453	524	16	29	said	VB
454	525	17	29	as	OO
455	526	18	29	his	JJ
456	527	19	29	pickup	NN
457	528	20	29	bounced	VB
458	529	21	29	down	OO
459	530	22	29	the	OO
460	531	23	29	driveway	NN
461	534	2	30	It	NN
462	535	3	30	looked	VB
463	536	4	30	like	OO
464	537	5	30	the	OO
465	538	6	30	road	NN
466	539	7	30	was	VB
467	540	8	30	catching	VB
468	541	9	30	on	OO
469	542	10	30	fire	NN
470	545	1	31	He	NN
471	546	2	31	drove	VB
472	547	3	31	through	OO
473	548	4	31	flames	NN
474	549	5	31	to	OO
475	550	6	31	get	VB
476	551	7	31	back	RB
477	552	8	31	out	OO
478	554	10	31	then	RB
479	555	11	31	learned	VB
480	556	12	31	that	OO
481	557	13	31	a	OO
482	558	14	31	woman	NN
