indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	Emma	NN
2	2	2	1	Woodhouse	NN
3	4	4	1	handsome	JJ
4	6	6	1	clever	JJ
5	8	8	1	and	OO
6	9	9	1	rich	JJ
7	11	11	1	with	OO
8	12	12	1	a	OO
9	13	13	1	comfortable	JJ
10	14	14	1	home	NN
11	15	15	1	and	OO
12	16	16	1	happy	JJ
13	17	17	1	disposition	NN
14	19	19	1	seemed	VB
15	20	20	1	to	OO
16	21	21	1	unite	VB
17	22	22	1	some	OO
18	23	23	1	of	OO
19	24	24	1	the	OO
20	25	25	1	best	JJ
21	26	26	1	blessings	NN
22	27	27	1	of	OO
23	28	28	1	existence	NN
24	30	30	1	and	OO
25	31	31	1	had	VB
26	32	32	1	lived	VB
27	33	33	1	nearly	RB
28	34	34	1	twentyone	OO
29	35	35	1	years	NN
30	36	36	1	in	OO
31	37	37	1	the	OO
32	38	38	1	world	NN
33	39	39	1	with	OO
34	40	40	1	very	RB
35	41	41	1	little	JJ
36	42	42	1	to	OO
37	43	43	1	distress	NN
38	44	44	1	or	OO
39	45	45	1	vex	VB
40	46	46	1	her	NN
41	48	1	2	She	NN
42	49	2	2	was	VB
43	50	3	2	the	OO
44	51	4	2	youngest	JJ
45	52	5	2	of	OO
46	53	6	2	the	OO
47	54	7	2	two	OO
48	55	8	2	daughters	NN
49	56	9	2	of	OO
50	57	10	2	a	OO
51	58	11	2	most	RB
52	59	12	2	affectionate	JJ
53	61	14	2	indulgent	JJ
54	62	15	2	father	NN
55	64	17	2	and	OO
56	65	18	2	had	VB
57	67	20	2	in	OO
58	68	21	2	consequence	NN
59	69	22	2	of	OO
60	70	23	2	her	JJ
61	71	24	2	sister	NN
62	72	25	2	s	OO
63	73	26	2	marriage	NN
64	75	28	2	been	VB
65	76	29	2	mistress	NN
66	77	30	2	of	OO
67	78	31	2	his	JJ
68	79	32	2	house	NN
69	80	33	2	from	OO
70	81	34	2	a	OO
71	82	35	2	very	RB
72	83	36	2	early	JJ
73	84	37	2	period	NN
74	86	1	3	Her	JJ
75	87	2	3	mother	NN
76	88	3	3	had	VB
77	89	4	3	died	VB
78	90	5	3	too	RB
79	91	6	3	long	RB
80	92	7	3	ago	RB
81	93	8	3	for	OO
82	94	9	3	her	JJ
83	95	10	3	to	OO
84	96	11	3	have	VB
85	97	12	3	more	JJ
86	98	13	3	than	OO
87	99	14	3	an	OO
88	100	15	3	indistinct	JJ
89	101	16	3	remembrance	NN
90	102	17	3	of	OO
91	103	18	3	her	JJ
92	104	19	3	caresses	NN
93	106	21	3	and	OO
94	107	22	3	her	JJ
95	108	23	3	place	NN
96	109	24	3	had	VB
97	110	25	3	been	VB
98	111	26	3	supplied	VB
99	112	27	3	by	OO
100	113	28	3	an	OO
101	114	29	3	excellent	JJ
102	115	30	3	woman	NN
103	116	31	3	as	OO
104	117	32	3	governess	NN
105	119	34	3	who	NN
106	120	35	3	had	VB
107	121	36	3	fallen	VB
108	122	37	3	little	JJ
109	123	38	3	short	JJ
