indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	WASHINGTON	NN
2	3	3	1	The	OO
3	4	4	1	Senate	NN
4	5	5	1	will	VB
5	6	6	1	reconvene	VB
6	7	7	1	at	OO
7	8	8	1	midday	NN
8	9	9	1	on	OO
9	10	10	1	Monday	NN
10	11	11	1	to	OO
11	12	12	1	consider	VB
12	13	13	1	changes	NN
13	14	14	1	to	OO
14	15	15	1	a	OO
15	16	16	1	House	NN
16	17	17	1	bill	NN
17	18	18	1	that	OO
18	19	19	1	would	VB
19	20	20	1	curtail	VB
20	21	21	1	the	OO
21	22	22	1	governments	NN
22	23	23	1	authority	NN
23	24	24	1	to	OO
24	25	25	1	sweep	VB
25	26	26	1	up	OO
26	27	27	1	vast	JJ
27	28	28	1	quantities	NN
28	29	29	1	of	OO
29	30	30	1	telephone	NN
30	31	31	1	records	NN
31	32	32	1	after	OO
32	33	33	1	the	OO
33	34	34	1	program	NN
34	36	36	1	which	OO
35	37	37	1	began	VB
36	38	38	1	after	OO
37	39	39	1	the	OO
38	40	40	1	2001	OO
39	41	41	1	terrorist	JJ
40	42	42	1	attacks	NN
41	44	44	1	expired	VB
42	45	45	1	at	OO
43	46	46	1	1201	OO
44	47	47	1	am	RB
45	48	1	2	Senator	NN
46	49	2	2	Rand	NN
47	50	3	2	Paul	NN
48	52	5	2	Republican	NN
49	53	6	2	of	OO
50	54	7	2	Kentucky	NN
51	56	9	2	blocked	VB
52	57	10	2	an	OO
53	58	11	2	extension	NN
54	59	12	2	of	OO
55	60	13	2	it	NN
56	61	14	2	during	OO
57	62	15	2	an	OO
58	63	16	2	extraordinary	JJ
59	64	17	2	and	OO
60	65	18	2	at	OO
61	66	19	2	times	NN
62	67	20	2	caustic	JJ
63	68	21	2	Sunday	NN
64	69	22	2	session	NN
65	70	23	2	of	OO
66	71	24	2	the	OO
67	72	25	2	Senate	NN
68	74	1	3	Hamstrung	NN
69	75	2	3	by	OO
70	76	3	3	procedural	JJ
71	77	4	3	rules	NN
72	78	5	3	that	OO
73	79	6	3	require	VB
74	80	7	3	the	OO
75	81	8	3	consent	NN
76	82	9	3	of	OO
77	83	10	3	all	OO
78	84	11	3	lawmakers	NN
79	86	13	3	the	OO
80	87	14	3	Senate	NN
81	88	15	3	is	VB
82	89	16	3	unable	JJ
83	90	17	3	to	OO
84	91	18	3	restore	VB
85	92	19	3	the	OO
86	93	20	3	lapsed	JJ
87	94	21	3	authorities	NN
88	95	22	3	until	OO
89	96	23	3	at	OO
90	97	24	3	least	JJ
91	98	25	3	Tuesday	NN
92	100	1	4	The	OO
93	101	2	4	Senate	NN
94	102	3	4	was	VB
95	103	4	4	on	OO
96	104	5	4	recess	NN
97	105	6	4	last	JJ
98	106	7	4	week	NN
99	108	1	5	After	OO
100	109	2	5	senators	NN
101	110	3	5	pass	VB
102	111	4	5	a	OO
103	112	5	5	procedural	JJ
104	113	6	5	measure	NN
105	114	7	5	on	OO
106	115	8	5	Monday	NN
107	116	9	5	to	OO
108	117	10	5	consider	VB
109	118	11	5	the	OO
110	119	12	5	House	NN
111	120	13	5	bill	NN
112	122	15	5	they	NN
113	123	16	5	will	VB
114	124	17	5	begin	VB
115	125	18	5	amending	VB
116	126	19	5	it	NN
117	128	21	5	a	OO
118	129	22	5	process	NN
119	130	23	5	that	OO
120	131	24	5	could	VB
121	132	25	5	take	VB
122	133	26	5	one	OO
123	134	27	5	to	OO
124	135	28	5	three	OO
125	136	29	5	days	NN
126	138	1	6	Mr	NN
127	140	3	6	stand	VB
128	141	4	6	may	VB
129	142	5	6	have	VB
130	143	6	6	forced	VB
131	144	7	6	the	OO
132	145	8	6	temporary	JJ
133	146	9	6	expiration	NN
134	147	10	6	of	OO
135	148	11	6	parts	NN
136	149	12	6	of	OO
137	150	13	6	the	OO
138	151	14	6	USA	NN
139	152	15	6	Patriot	NN
140	153	16	6	Act	NN
141	154	17	6	used	VB
142	155	18	6	by	OO
143	156	19	6	the	OO
144	157	20	6	National	NN
145	158	21	6	Security	NN
146	159	22	6	Agency	NN
147	160	23	6	to	OO
148	161	24	6	collect	VB
149	162	25	6	phone	NN
150	163	26	6	records	NN
151	165	28	6	but	OO
152	166	29	6	he	NN
153	167	30	6	was	VB
154	168	31	6	helped	VB
155	169	32	6	by	OO
156	170	33	6	the	OO
157	171	34	6	miscalculation	NN
158	172	35	6	of	OO
159	173	36	6	Senator	NN
160	174	37	6	Mitch	NN
161	175	38	6	McConnell	NN
162	177	40	6	the	OO
163	178	41	6	majority	NN
164	179	42	6	leader	NN
165	181	44	6	who	NN
166	182	45	6	sent	VB
167	183	46	6	the	OO
168	184	47	6	Senate	NN
169	185	48	6	on	OO
170	186	49	6	a	OO
171	187	50	6	weeklong	JJ
172	188	51	6	vacation	NN
173	189	52	6	after	OO
174	190	53	6	blocking	VB
175	191	54	6	the	OO
176	192	55	6	House	NN
177	193	56	6	bill	NN
178	194	57	6	before	OO
179	195	58	6	Memorial	NN
180	196	59	6	Day	NN
181	198	1	7	Mr	NN
182	199	2	7	McConnell	NN
183	201	4	7	also	RB
184	202	5	7	of	OO
185	203	6	7	Kentucky	NN
186	205	8	7	relented	VB
187	206	9	7	on	OO
188	207	10	7	Sunday	NN
189	209	12	7	setting	VB
190	210	13	7	up	OO
191	211	14	7	a	OO
192	212	15	7	final	JJ
193	213	16	7	round	NN
194	214	17	7	of	OO
195	215	18	7	votes	NN
196	216	19	7	on	OO
197	217	20	7	Tuesday	NN
198	218	21	7	or	OO
199	219	22	7	Wednesday	NN
200	220	23	7	that	OO
201	221	24	7	will	VB
202	222	25	7	most	RB
203	223	26	7	likely	JJ
204	224	27	7	send	VB
205	225	28	7	a	OO
206	226	29	7	compromised	JJ
207	227	30	7	version	NN
208	228	31	7	of	OO
209	229	32	7	the	OO
210	230	33	7	House	NN
211	231	34	7	bill	NN
212	232	35	7	to	OO
213	233	36	7	President	NN
214	234	37	7	Obama	NN
215	235	38	7	for	OO
216	236	39	7	his	JJ
217	237	40	7	signature	NN
218	239	1	8	Even	RB
219	240	2	8	Mr	NN
220	241	3	8	Paul	NN
221	243	5	8	using	VB
222	244	6	8	the	OO
223	245	7	8	procedural	JJ
224	246	8	8	weapon	NN
225	247	9	8	of	OO
226	248	10	8	an	OO
227	249	11	8	objection	NN
228	251	13	8	conceded	VB
229	252	14	8	he	NN
230	253	15	8	could	VB
231	254	16	8	not	RB
232	255	17	8	stop	VB
233	256	18	8	that	OO
234	259	2	9	Little	NN
235	260	3	9	by	OO
236	261	4	9	little	JJ
237	264	7	9	allowed	VB
238	265	8	9	our	JJ
239	266	9	9	freedom	NN
240	267	10	9	to	OO
241	268	11	9	slip	VB
242	269	12	9	away	RB
243	272	15	9	Mr	NN
244	273	16	9	Paul	NN
245	274	17	9	said	VB
246	275	18	9	during	OO
247	276	19	9	a	OO
248	277	20	9	lengthy	JJ
249	278	21	9	floor	NN
250	279	22	9	soliloquy	NN
251	281	1	10	The	OO
252	282	2	10	expiration	NN
253	283	3	10	of	OO
254	284	4	10	surveillance	NN
255	285	5	10	authority	NN
256	286	6	10	demonstrates	VB
257	287	7	10	a	OO
258	288	8	10	profound	JJ
259	289	9	10	shift	NN
260	290	10	10	in	OO
261	291	11	10	American	JJ
262	292	12	10	attitudes	NN
263	293	13	10	since	OO
264	294	14	10	the	OO
265	295	15	10	days	NN
266	296	16	10	after	OO
267	297	17	10	the	OO
268	298	18	10	Sept	NN
269	299	19	10	11	OO
270	301	21	10	2001	OO
271	303	23	10	terrorist	JJ
272	304	24	10	attacks	NN
273	306	26	10	when	RB
274	307	27	10	national	JJ
275	308	28	10	security	NN
276	309	29	10	was	VB
277	310	30	10	preeminent	JJ
278	311	31	10	in	OO
279	312	32	10	both	OO
280	313	33	10	parties	NN
281	315	1	11	Fourteen	OO
282	316	2	11	years	NN
283	317	3	11	after	OO
284	318	4	11	that	OO
285	319	5	11	attack	NN
286	321	7	11	even	RB
287	322	8	11	as	OO
288	323	9	11	American	JJ
289	324	10	11	conflicts	NN
290	325	11	11	continue	VB
291	326	12	11	abroad	RB
292	328	14	11	a	OO
293	329	15	11	swell	NN
294	330	16	11	of	OO
295	331	17	11	privacy	NN
296	332	18	11	concerns	NN
297	333	19	11	stemming	VB
298	334	20	11	from	OO
299	335	21	11	both	OO
300	336	22	11	the	OO
301	337	23	11	vast	JJ
302	338	24	11	expansion	NN
303	339	25	11	of	OO
304	340	26	11	communication	NN
305	341	27	11	systems	NN
306	342	28	11	and	OO
307	343	29	11	an	OO
308	344	30	11	increasing	VB
309	345	31	11	distrust	NN
310	346	32	11	of	OO
311	347	33	11	governments	NN
312	348	34	11	use	NN
313	349	35	11	of	OO
314	350	36	11	data	NN
315	351	37	11	has	VB
316	352	38	11	turned	VB
317	353	39	11	those	OO
318	354	40	11	concerns	NN
319	355	41	11	on	OO
320	356	42	11	their	JJ
321	357	43	11	head	NN
322	359	1	12	While	OO
323	360	2	12	it	NN
324	361	3	12	would	VB
325	362	4	12	represent	VB
326	363	5	12	a	OO
327	364	6	12	retrenchment	NN
328	365	7	12	on	OO
329	366	8	12	the	OO
330	367	9	12	part	NN
331	368	10	12	of	OO
332	369	11	12	the	OO
333	370	12	12	government	NN
334	372	14	12	it	NN
335	373	15	12	does	VB
336	374	16	12	not	RB
337	375	17	12	end	VB
338	376	18	12	the	OO
339	377	19	12	argument	NN
340	378	20	12	over	OO
341	379	21	12	the	OO
342	380	22	12	dual	JJ
343	381	23	12	imperatives	NN
344	382	24	12	of	OO
345	383	25	12	security	NN
346	384	26	12	and	OO
347	385	27	12	individual	JJ
348	386	28	12	liberty	NN
349	387	29	12	brought	VB
350	388	30	12	to	OO
351	389	31	12	light	NN
352	390	32	12	by	OO
353	391	33	12	Edward	NN
354	392	34	12	J	NN
355	393	35	12	Snowden	NN
356	395	37	12	a	OO
357	396	38	12	former	JJ
