indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	WILLOW	NN
2	3	3	1	Constance	NN
3	4	4	1	Walz	NN
4	5	5	1	stopped	VB
5	6	6	1	to	OO
6	7	7	1	watch	VB
7	8	8	1	a	OO
8	9	9	1	firefighting	NN
9	10	10	1	helicopter	NN
10	11	11	1	as	OO
11	12	12	1	she	NN
12	13	13	1	moved	VB
13	14	14	1	wood	NN
14	15	15	1	away	RB
15	16	16	1	from	OO
16	17	17	1	the	OO
17	18	18	1	converted	VB
18	19	19	1	bus	NN
19	20	20	1	she	NN
20	21	21	1	shares	VB
21	22	22	1	with	OO
22	23	23	1	her	JJ
23	24	24	1	seventoed	JJ
24	25	25	1	cat	NN
25	27	1	2	Walz	NN
26	28	2	2	is	VB
27	29	3	2	part	NN
28	30	4	2	of	OO
29	31	5	2	a	OO
30	32	6	2	much	JJ
31	33	7	2	larger	JJ
32	34	8	2	brigade	NN
33	35	9	2	of	OO
34	36	10	2	Willow	NN
35	37	11	2	residents	NN
36	38	12	2	staying	VB
37	39	13	2	put	VB
38	40	14	2	instead	RB
39	41	15	2	of	OO
40	42	16	2	evacuating	VB
41	43	17	2	from	OO
42	44	18	2	the	OO
43	45	19	2	Sockeye	NN
44	46	20	2	fire	NN
45	48	22	2	an	OO
46	49	23	2	uncontrolled	JJ
47	50	24	2	wildland	NN
48	51	25	2	conflagration	NN
49	52	26	2	that	OO
50	53	27	2	s	VB
51	54	28	2	so	RB
52	55	29	2	far	RB
53	56	30	2	destroyed	VB
54	57	31	2	50	OO
55	58	32	2	to	OO
56	59	33	2	100	OO
57	60	34	2	structures	NN
58	61	35	2	and	OO
59	62	36	2	burned	VB
60	63	37	2	across	OO
61	64	38	2	more	JJ
62	65	39	2	than	OO
63	66	40	2	7500	OO
64	67	41	2	acres	NN
65	68	42	2	since	OO
66	69	43	2	Sunday	NN
67	72	2	3	This	OO
68	73	3	3	is	VB
69	74	4	3	our	JJ
70	75	5	3	home	NN
71	78	8	3	she	NN
72	79	9	3	said	VB
73	80	10	3	Tuesday	NN
74	82	12	3	standing	VB
75	83	13	3	in	OO
76	84	14	3	her	JJ
77	85	15	3	driveway	NN
78	86	16	3	wearing	VB
79	87	17	3	a	OO
80	88	18	3	sleeveless	JJ
81	89	19	3	blouse	NN
82	90	20	3	and	OO
83	91	21	3	opentoed	JJ
84	92	22	3	sandals	NN
85	95	2	4	Until	OO
86	96	3	4	it	NN
87	97	4	4	s	VB
88	98	5	4	in	OO
89	99	6	4	my	JJ
90	100	7	4	backyard	NN
91	101	8	4	and	OO
92	102	9	4	that	OO
93	103	10	4	rubber	NN
94	104	11	4	is	VB
95	105	12	4	melting	VB
96	106	13	4	on	OO
97	107	14	4	my	JJ
98	108	15	4	truck	NN
99	111	18	4	not	RB
100	112	19	4	going	VB
101	113	20	4	anywhere	RB
102	117	3	5	got	VB
103	118	4	5	to	OO
104	119	5	5	protect	VB
105	120	6	5	the	OO
106	121	7	5	neighborhood	NN
107	123	1	6	Who	NN
108	124	2	6	else	RB
109	125	3	6	is	VB
110	126	4	6	going	VB
111	127	5	6	to	OO
112	130	1	7	The	OO
113	131	2	7	flames	NN
114	132	3	7	came	VB
115	133	4	7	close	RB
116	134	5	7	to	OO
117	135	6	7	this	OO
118	136	7	7	neighborhood	NN
119	137	8	7	on	OO
120	138	9	7	the	OO
121	139	10	7	fire	NN
122	140	11	7	s	OO
123	141	12	7	northern	JJ
124	142	13	7	edge	NN
125	143	14	7	Monday	NN
126	144	15	7	night	NN
127	146	1	8	A	OO
128	147	2	8	wind	NN
129	148	3	8	shift	NN
130	149	4	8	pushed	VB
131	150	5	8	flames	NN
132	151	6	8	from	OO
133	152	7	8	the	OO
134	153	8	8	next	JJ
135	154	9	8	road	NN
136	155	10	8	south	RB
137	157	12	8	West	JJ
138	158	13	8	Sockeye	NN
139	159	14	8	Avenue	NN
140	161	16	8	near	OO
141	162	17	8	where	RB
142	163	18	8	the	OO
143	164	19	8	fire	NN
144	165	20	8	started	VB
145	167	22	8	and	OO
146	168	23	8	toward	OO
147	169	24	8	the	OO
148	170	25	8	rural	JJ
149	171	26	8	West	NN
150	172	27	8	Sheep	NN
151	173	28	8	Creek	NN
152	174	29	8	Drive	NN
153	175	30	8	neighborhood	NN
154	176	31	8	where	RB
155	177	32	8	Walz	NN
156	178	33	8	lives	VB
157	180	35	8	amid	OO
158	181	36	8	a	OO
159	182	37	8	thick	JJ
160	183	38	8	canopy	NN
161	184	39	8	of	OO
162	185	40	8	the	OO
163	186	41	8	same	JJ
164	187	42	8	black	JJ
165	188	43	8	spruce	VB
166	189	44	8	that	OO
167	190	45	8	this	OO
168	191	46	8	fire	NN
169	192	47	8	blows	NN
170	193	48	8	through	OO
171	194	49	8	like	OO
172	195	50	8	standing	VB
173	196	51	8	tinder	NN
174	198	1	9	Alaska	NN
175	199	2	9	State	NN
176	200	3	9	Troopers	NN
177	201	4	9	told	VB
178	202	5	9	the	OO
179	203	6	9	scattered	VB
180	204	7	9	residents	NN
181	205	8	9	along	OO
182	206	9	9	the	OO
183	207	10	9	gravel	NN
184	208	11	9	road	NN
185	209	12	9	to	OO
186	210	13	9	evacuate	VB
187	212	1	10	Walz	NN
188	213	2	10	lost	VB
189	214	3	10	her	JJ
190	215	4	10	home	NN
191	216	5	10	in	OO
192	217	6	10	the	OO
193	218	7	10	1996	OO
194	219	8	10	Miller	NN
195	220	9	10	s	OO
196	221	10	10	Reach	NN
197	222	11	10	fire	NN
198	223	12	10	that	OO
199	224	13	10	destroyed	VB
200	225	14	10	more	JJ
201	226	15	10	than	OO
202	227	16	10	400	OO
203	230	2	11	I	NN
204	231	3	11	told	VB
205	232	4	11	him	NN
206	233	5	11	I	NN
207	234	6	11	was	VB
208	235	7	11	nt	RB
209	236	8	11	leaving	VB
210	239	11	11	she	NN
211	240	12	11	said	VB
212	243	2	12	They	NN
213	244	3	12	said	VB
214	245	4	12	it	NN
215	246	5	12	was	VB
216	247	6	12	voluntary	JJ
217	248	7	12	anyway	RB
218	251	1	13	This	OO
219	252	2	13	fire	NN
220	254	4	13	however	RB
221	256	6	13	is	VB
222	257	7	13	expected	VB
223	258	8	13	to	OO
224	259	9	13	turn	VB
225	260	10	13	ugly	JJ
226	261	11	13	again	RB
227	263	1	14	Forecasts	NN
228	264	2	14	called	VB
229	265	3	14	for	OO
230	266	4	14	extreme	JJ
231	267	5	14	behavior	NN
232	268	6	14	Tuesday	NN
233	269	7	14	night	NN
234	270	8	14	due	JJ
235	271	9	14	to	OO
236	272	10	14	thunderstorms	NN
237	273	11	14	and	OO
238	274	12	14	erratic	JJ
239	275	13	14	winds	NN
240	277	1	15	The	OO
241	278	2	15	crews	NN
242	279	3	15	fighting	VB
243	280	4	15	the	OO
244	281	5	15	fire	NN
245	282	6	15	acknowledge	VB
246	283	7	15	the	OO
247	284	8	15	state	NN
248	285	9	15	s	OO
249	286	10	15	general	JJ
250	287	11	15	policy	NN
251	288	12	15	against	OO
252	289	13	15	mandatory	JJ
253	290	14	15	evacuations	NN
254	292	1	16	But	OO
255	293	2	16	they	NN
256	294	3	16	do	VB
257	295	4	16	nt	RB
258	296	5	16	like	VB
259	297	6	16	it	NN
260	299	8	16	officials	NN
261	300	9	16	say	VB
262	302	11	16	because	OO
263	303	12	16	homeowners	NN
264	304	13	16	may	VB
265	305	14	16	misjudge	VB
266	306	15	16	the	OO
267	307	16	16	danger	NN
268	310	2	17	The	OO
269	311	3	17	troopers	NN
270	312	4	17	are	VB
271	313	5	17	very	RB
272	314	6	17	cautious	JJ
273	315	7	17	in	OO
274	316	8	17	advising	VB
275	317	9	17	us	NN
276	318	10	17	that	OO
277	319	11	17	evacuations	NN
278	320	12	17	are	VB
279	321	13	17	voluntary	JJ
280	324	16	17	Tom	NN
281	325	17	17	Kurth	NN
282	327	19	17	incident	NN
283	328	20	17	commander	NN
284	329	21	17	on	OO
285	330	22	17	the	OO
286	331	23	17	fire	NN
287	333	25	17	said	VB
288	334	26	17	during	OO
289	335	27	17	a	OO
290	336	28	17	press	NN
291	337	29	17	conference	NN
292	338	30	17	Tuesday	NN
293	341	2	18	Now	RB
294	343	4	18	that	OO
295	344	5	18	s	VB
296	345	6	18	not	RB
297	346	7	18	our	JJ
298	347	8	18	advice	NN
299	350	1	19	Approaching	VB
300	351	2	19	fires	NN
301	352	3	19	throw	VB
302	353	4	19	off	OO
303	354	5	19	voluminous	JJ
304	355	6	19	smoke	NN
305	357	8	19	and	OO
306	358	9	19	then	RB
307	359	10	19	turbulence	NN
308	360	11	19	starts	VB
309	362	13	19	Kurth	NN
310	363	14	19	said	VB
311	367	3	20	when	RB
312	368	4	20	some	OO
313	369	5	20	holdouts	NN
314	370	6	20	decide	VB
315	371	7	20	to	OO
316	372	8	20	leave	VB
317	373	9	20	home	NN
318	376	12	20	Out	OO
319	377	13	20	they	NN
320	378	14	20	come	VB
321	381	17	20	he	NN
322	382	18	20	said	VB
323	387	4	21	in	OO
324	388	5	21	the	OO
325	389	6	21	smoke	NN
326	393	3	22	in	OO
327	394	4	22	the	OO
328	395	5	22	smoke	NN
329	399	3	23	a	OO
330	400	4	23	very	RB
331	401	5	23	dangerous	JJ
332	402	6	23	environment	NN
333	403	7	23	to	OO
334	404	8	23	operate	VB
335	405	9	23	in	OO
336	408	1	24	Alaska	NN
337	409	2	24	Wildlife	NN
338	410	3	24	Trooper	NN
339	411	4	24	Thomas	NN
340	412	5	24	Akelkok	NN
341	413	6	24	spent	VB
342	414	7	24	Tuesday	NN
343	415	8	24	guarding	VB
344	416	9	24	against	OO
345	417	10	24	looters	NN
346	418	11	24	and	OO
347	419	12	24	checking	VB
348	420	13	24	on	OO
349	421	14	24	people	NN
350	422	15	24	who	NN
351	423	16	24	stayed	VB
352	424	17	24	behind	OO
353	425	18	24	despite	OO
354	426	19	24	an	OO
355	427	20	24	evacuation	NN
356	428	21	24	advisory	NN
357	429	22	24	that	OO
358	430	23	24	now	RB
359	431	24	24	covers	VB
360	432	25	24	a	OO
361	433	26	24	15mile	JJ
362	434	27	24	corridor	NN
363	435	28	24	along	OO
364	436	29	24	the	OO
365	437	30	24	Parks	NN
366	438	31	24	Highway	NN
367	440	1	25	Akelkok	NN
368	442	3	25	a	OO
369	443	4	25	Ekwok	NN
370	444	5	25	native	NN
371	445	6	25	who	NN
372	446	7	25	brings	VB
373	447	8	25	a	OO
374	448	9	25	goodnatured	JJ
375	449	10	25	personality	NN
376	450	11	25	to	OO
377	451	12	25	the	OO
378	452	13	25	job	NN
379	454	15	25	drove	VB
380	455	16	25	down	OO
381	456	17	25	a	OO
382	457	18	25	long	JJ
383	458	19	25	driveway	NN
384	459	20	25	near	OO
385	460	21	25	Capitol	NN
386	461	22	25	Speedway	NN
387	462	23	25	to	OO
388	463	24	25	check	VB
389	464	25	25	on	OO
390	465	26	25	a	OO
391	466	27	25	home	NN
392	468	1	26	Skeletal	JJ
393	469	2	26	charred	VB
394	470	3	26	spruce	VB
395	471	4	26	trees	NN
396	472	5	26	stood	VB
397	473	6	26	like	OO
398	474	7	26	spikes	NN
399	475	8	26	in	OO
400	476	9	26	a	OO
401	477	10	26	moonscape	NN
402	478	11	26	of	OO
403	479	12	26	gray	JJ
404	481	1	27	Occasional	JJ
405	482	2	27	whiffs	NN
406	483	3	27	of	OO
407	484	4	27	smoke	NN
408	485	5	27	emerged	VB
409	486	6	27	from	OO
410	487	7	27	the	OO
411	488	8	27	incinerated	VB
412	489	9	27	duff	NN
413	491	1	28	The	OO
414	492	2	28	trooper	NN
415	493	3	28	came	VB
416	494	4	28	to	OO
417	495	5	28	the	OO
418	496	6	28	house	NN
419	497	7	28	Sunday	NN
420	498	8	28	as	OO
421	499	9	28	the	OO
422	500	10	28	fire	NN
423	501	11	28	bore	VB
424	502	12	28	down	OO
425	503	13	28	to	OO
426	504	14	28	warn	VB
427	505	15	28	the	OO
428	506	16	28	family	NN
429	507	17	28	inside	OO
430	510	2	29	Behind	OO
431	511	3	29	me	NN
432	513	5	29	I	NN
433	514	6	29	could	VB
434	515	7	29	see	VB
435	516	8	29	it	NN
436	517	9	29	in	OO
437	518	10	29	the	OO
438	519	11	29	rearview	NN
439	520	12	29	mirror	NN
440	523	15	29	Akelkok	NN
441	524	16	29	said	VB
442	525	17	29	as	OO
443	526	18	29	his	JJ
444	527	19	29	pickup	NN
445	528	20	29	bounced	VB
446	529	21	29	down	OO
447	530	22	29	the	OO
448	531	23	29	driveway	NN
449	534	2	30	It	NN
450	535	3	30	looked	VB
451	536	4	30	like	OO
452	537	5	30	the	OO
453	538	6	30	road	NN
454	539	7	30	was	VB
455	540	8	30	catching	VB
456	541	9	30	on	OO
457	542	10	30	fire	NN
458	545	1	31	He	NN
459	546	2	31	drove	VB
460	547	3	31	through	OO
461	548	4	31	flames	NN
462	549	5	31	to	OO
463	550	6	31	get	VB
464	551	7	31	back	RB
465	552	8	31	out	OO
466	554	10	31	then	RB
467	555	11	31	learned	VB
468	556	12	31	that	OO
469	557	13	31	a	OO
470	558	14	31	woman	NN
471	559	15	31	remained	VB
472	560	16	31	at	OO
473	561	17	31	the	OO
474	562	18	31	house	NN
475	564	1	32	Akelkok	NN
476	565	2	32	turned	VB
477	566	3	32	around	RB
478	568	5	32	got	VB
479	569	6	32	the	OO
480	570	7	32	woman	NN
481	571	8	32	out	OO
