indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	WASHINGTON	NN
2	3	3	1	The	OO
3	4	4	1	Senate	NN
4	5	5	1	will	VB
5	6	6	1	reconvene	VB
6	7	7	1	at	OO
7	8	8	1	midday	NN
8	9	9	1	on	OO
9	10	10	1	Monday	NN
10	11	11	1	to	OO
11	12	12	1	consider	VB
12	13	13	1	changes	NN
13	14	14	1	to	OO
14	15	15	1	a	OO
15	16	16	1	House	NN
16	17	17	1	bill	NN
17	18	18	1	that	OO
18	19	19	1	would	VB
19	20	20	1	curtail	VB
20	21	21	1	the	OO
21	22	22	1	government	NN
22	24	24	1	authority	NN
23	25	25	1	to	OO
24	26	26	1	sweep	NN
25	27	27	1	up	OO
26	28	28	1	vast	JJ
27	29	29	1	quantities	NN
28	30	30	1	of	OO
29	31	31	1	telephone	NN
30	32	32	1	records	NN
31	33	33	1	after	OO
32	34	34	1	the	OO
33	35	35	1	program	NN
34	37	37	1	which	OO
35	38	38	1	began	VB
36	39	39	1	after	OO
37	40	40	1	the	OO
38	41	41	1	2001	OO
39	42	42	1	terrorist	JJ
40	43	43	1	attacks	NN
41	45	45	1	expired	VB
42	46	46	1	at	OO
43	47	47	1	1201	OO
44	48	48	1	am	RB
45	49	49	1	Senator	NN
46	50	50	1	Rand	NN
47	51	51	1	Paul	NN
48	53	53	1	Republican	NN
49	54	54	1	of	OO
50	55	55	1	Kentucky	NN
51	57	57	1	blocked	VB
52	58	58	1	an	OO
53	59	59	1	extension	NN
54	60	60	1	of	OO
55	61	61	1	it	NN
56	62	62	1	during	OO
57	63	63	1	an	OO
58	64	64	1	extraordinary	JJ
59	65	65	1	and	OO
60	66	66	1	at	OO
61	67	67	1	times	NN
62	68	68	1	caustic	JJ
63	69	69	1	Sunday	NN
64	70	70	1	session	NN
65	71	71	1	of	OO
66	72	72	1	the	OO
67	73	73	1	Senate	NN
68	75	1	2	Hamstrung	JJ
69	76	2	2	by	OO
70	77	3	2	procedural	JJ
71	78	4	2	rules	NN
72	79	5	2	that	OO
73	80	6	2	require	VB
74	81	7	2	the	OO
75	82	8	2	consent	NN
76	83	9	2	of	OO
77	84	10	2	all	OO
78	85	11	2	lawmakers	NN
79	87	13	2	the	OO
80	88	14	2	Senate	NN
81	89	15	2	is	VB
82	90	16	2	unable	JJ
83	91	17	2	to	OO
84	92	18	2	restore	VB
85	93	19	2	the	OO
86	94	20	2	lapsed	VB
87	95	21	2	authorities	NN
88	96	22	2	until	OO
89	97	23	2	at	OO
90	98	24	2	least	JJ
91	99	25	2	Tuesday	NN
92	101	1	3	The	OO
93	102	2	3	Senate	NN
94	103	3	3	was	VB
95	104	4	3	on	OO
96	105	5	3	recess	NN
97	106	6	3	last	JJ
98	107	7	3	week	NN
99	109	1	4	After	OO
100	110	2	4	senators	NN
101	111	3	4	pass	VB
102	112	4	4	a	OO
103	113	5	4	procedural	JJ
104	114	6	4	measure	NN
105	115	7	4	on	OO
106	116	8	4	Monday	NN
107	117	9	4	to	OO
108	118	10	4	consider	VB
109	119	11	4	the	OO
110	120	12	4	House	NN
111	121	13	4	bill	NN
112	123	15	4	they	NN
113	124	16	4	will	VB
114	125	17	4	begin	VB
115	126	18	4	amending	VB
116	127	19	4	it	NN
117	129	21	4	a	OO
118	130	22	4	process	NN
119	131	23	4	that	OO
120	132	24	4	could	VB
121	133	25	4	take	VB
122	134	26	4	one	OO
123	135	27	4	to	OO
124	136	28	4	three	OO
125	137	29	4	days	NN
126	139	1	5	Mr	NN
127	142	4	5	stand	NN
128	143	5	5	may	VB
129	144	6	5	have	VB
130	145	7	5	forced	VB
131	146	8	5	the	OO
132	147	9	5	temporary	JJ
133	148	10	5	expiration	NN
134	149	11	5	of	OO
135	150	12	5	parts	NN
136	151	13	5	of	OO
137	152	14	5	the	OO
138	153	15	5	USA	NN
139	154	16	5	Patriot	NN
140	155	17	5	Act	NN
141	156	18	5	used	VB
142	157	19	5	by	OO
143	158	20	5	the	OO
144	159	21	5	National	NN
145	160	22	5	Security	NN
146	161	23	5	Agency	NN
147	162	24	5	to	OO
148	163	25	5	collect	VB
149	164	26	5	phone	NN
150	165	27	5	records	NN
151	167	29	5	but	OO
152	168	30	5	he	NN
153	169	31	5	was	VB
154	170	32	5	helped	VB
155	171	33	5	by	OO
156	172	34	5	the	OO
157	173	35	5	miscalculation	NN
158	174	36	5	of	OO
159	175	37	5	Senator	NN
160	176	38	5	Mitch	NN
161	177	39	5	McConnell	NN
162	179	41	5	the	OO
163	180	42	5	majority	NN
164	181	43	5	leader	NN
165	183	45	5	who	NN
166	184	46	5	sent	VB
167	185	47	5	the	OO
168	186	48	5	Senate	NN
169	187	49	5	on	OO
170	188	50	5	a	OO
171	189	51	5	weeklong	NN
172	190	52	5	vacation	NN
173	191	53	5	after	OO
174	192	54	5	blocking	VB
175	193	55	5	the	OO
176	194	56	5	House	NN
177	195	57	5	bill	NN
178	196	58	5	before	OO
179	197	59	5	Memorial	NN
180	198	60	5	Day	NN
181	200	1	6	Mr	NN
182	201	2	6	McConnell	NN
183	203	4	6	also	RB
184	204	5	6	of	OO
185	205	6	6	Kentucky	NN
186	207	8	6	relented	VB
187	208	9	6	on	OO
188	209	10	6	Sunday	NN
189	211	12	6	setting	VB
190	212	13	6	up	OO
191	213	14	6	a	OO
192	214	15	6	final	JJ
193	215	16	6	round	NN
194	216	17	6	of	OO
195	217	18	6	votes	NN
196	218	19	6	on	OO
197	219	20	6	Tuesday	NN
198	220	21	6	or	OO
199	221	22	6	Wednesday	NN
200	222	23	6	that	OO
201	223	24	6	will	VB
202	224	25	6	most	RB
203	225	26	6	likely	JJ
204	226	27	6	send	VB
205	227	28	6	a	OO
206	228	29	6	compromised	VB
207	229	30	6	version	NN
208	230	31	6	of	OO
209	231	32	6	the	OO
210	232	33	6	House	NN
211	233	34	6	bill	NN
212	234	35	6	to	OO
213	235	36	6	President	NN
214	236	37	6	Obama	NN
215	237	38	6	for	OO
216	238	39	6	his	JJ
217	239	40	6	signature	NN
218	241	1	7	Even	RB
219	242	2	7	Mr	NN
220	243	3	7	Paul	NN
221	245	5	7	using	VB
222	246	6	7	the	OO
223	247	7	7	procedural	JJ
224	248	8	7	weapon	NN
225	249	9	7	of	OO
226	250	10	7	an	OO
227	251	11	7	objection	NN
228	253	13	7	conceded	VB
229	254	14	7	he	NN
230	255	15	7	could	VB
231	256	16	7	not	RB
232	257	17	7	stop	VB
233	258	18	7	that	OO
234	261	2	8	Little	JJ
235	262	3	8	by	OO
236	263	4	8	little	JJ
237	267	8	8	allowed	VB
238	268	9	8	our	JJ
239	269	10	8	freedom	NN
240	270	11	8	to	OO
241	271	12	8	slip	VB
242	272	13	8	away	RB
243	275	16	8	Mr	NN
244	276	17	8	Paul	NN
245	277	18	8	said	VB
246	278	19	8	during	OO
247	279	20	8	a	OO
248	280	21	8	lengthy	JJ
249	281	22	8	floor	NN
250	282	23	8	soliloquy	NN
251	284	1	9	The	OO
252	285	2	9	expiration	NN
253	286	3	9	of	OO
254	287	4	9	surveillance	NN
255	288	5	9	authority	NN
256	289	6	9	demonstrates	VB
257	290	7	9	a	OO
258	291	8	9	profound	JJ
259	292	9	9	shift	NN
260	293	10	9	in	OO
261	294	11	9	American	JJ
262	295	12	9	attitudes	NN
263	296	13	9	since	OO
264	297	14	9	the	OO
265	298	15	9	days	NN
266	299	16	9	after	OO
267	300	17	9	the	OO
268	301	18	9	Sept	NN
269	302	19	9	11	OO
270	304	21	9	2001	OO
271	306	23	9	terrorist	JJ
272	307	24	9	attacks	NN
273	309	26	9	when	RB
274	310	27	9	national	JJ
275	311	28	9	security	NN
276	312	29	9	was	VB
277	313	30	9	preeminent	JJ
278	314	31	9	in	OO
279	315	32	9	both	OO
280	316	33	9	parties	NN
281	318	1	10	Fourteen	OO
282	319	2	10	years	NN
283	320	3	10	after	OO
284	321	4	10	that	OO
285	322	5	10	attack	NN
286	324	7	10	even	RB
287	325	8	10	as	OO
288	326	9	10	American	JJ
289	327	10	10	conflicts	NN
290	328	11	10	continue	VB
291	329	12	10	abroad	RB
292	331	14	10	a	OO
293	332	15	10	swell	NN
294	333	16	10	of	OO
295	334	17	10	privacy	NN
296	335	18	10	concerns	NN
297	336	19	10	stemming	VB
298	337	20	10	from	OO
299	338	21	10	both	OO
300	339	22	10	the	OO
301	340	23	10	vast	JJ
302	341	24	10	expansion	NN
303	342	25	10	of	OO
304	343	26	10	communication	NN
305	344	27	10	systems	NN
306	345	28	10	and	OO
307	346	29	10	an	OO
308	347	30	10	increasing	VB
309	348	31	10	distrust	VB
310	349	32	10	of	OO
311	350	33	10	government	NN
312	352	35	10	use	NN
313	353	36	10	of	OO
314	354	37	10	data	NN
315	355	38	10	has	VB
316	356	39	10	turned	VB
317	357	40	10	those	OO
318	358	41	10	concerns	NN
319	359	42	10	on	OO
320	360	43	10	their	JJ
321	361	44	10	head	NN
322	363	1	11	While	OO
323	364	2	11	it	NN
324	365	3	11	would	VB
325	366	4	11	represent	VB
326	367	5	11	a	OO
327	368	6	11	retrenchment	NN
328	369	7	11	on	OO
329	370	8	11	the	OO
330	371	9	11	part	NN
331	372	10	11	of	OO
332	373	11	11	the	OO
333	374	12	11	government	NN
334	376	14	11	it	NN
335	377	15	11	does	VB
336	378	16	11	not	RB
337	379	17	11	end	VB
338	380	18	11	the	OO
339	381	19	11	argument	NN
340	382	20	11	over	OO
341	383	21	11	the	OO
342	384	22	11	dual	JJ
343	385	23	11	imperatives	NN
344	386	24	11	of	OO
345	387	25	11	security	NN
346	388	26	11	and	OO
347	389	27	11	individual	JJ
348	390	28	11	liberty	NN
349	391	29	11	brought	VB
350	392	30	11	to	OO
351	393	31	11	light	NN
352	394	32	11	by	OO
353	395	33	11	Edward	NN
354	396	34	11	J	NN
355	397	35	11	Snowden	NN
356	399	37	11	a	OO
357	400	38	11	former	JJ
