indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	In	OO
2	2	2	1	a	OO
3	3	3	1	day	NN
4	4	4	1	of	OO
5	5	5	1	protests	NN
6	6	6	1	in	OO
7	7	7	1	Egypt	NN
8	9	9	1	hundreds	NN
9	10	10	1	of	OO
10	11	11	1	thousands	NN
11	12	12	1	of	OO
12	13	13	1	people	NN
13	14	14	1	marched	VB
14	15	15	1	in	OO
15	16	16	1	the	OO
16	17	17	1	streets	NN
17	18	18	1	on	OO
18	19	19	1	January	NN
19	20	20	1	25th	OO
20	21	21	1	facing	VB
21	22	22	1	down	OO
22	23	23	1	riot	NN
23	24	24	1	police	NN
24	26	26	1	water	NN
25	27	27	1	cannons	NN
26	29	29	1	baton	NN
27	30	30	1	charges	NN
28	31	31	1	and	OO
29	32	32	1	tear	VB
30	33	33	1	gas	NN
31	35	1	2	The	OO
32	36	2	2	people	NN
33	37	3	2	are	VB
34	38	4	2	chanting	VB
35	39	5	2	for	OO
36	40	6	2	freedom	NN
37	41	7	2	and	OO
38	42	8	2	an	OO
39	43	9	2	end	NN
40	44	10	2	to	OO
41	45	11	2	the	OO
42	46	12	2	corrupt	JJ
43	47	13	2	administration	NN
44	48	14	2	of	OO
45	49	15	2	Hosni	NN
46	50	16	2	Mubarak	NN
47	52	18	2	who	NN
48	53	19	2	has	VB
49	54	20	2	been	VB
50	55	21	2	in	OO
51	56	22	2	power	NN
52	57	23	2	for	OO
53	58	24	2	30	OO
54	59	25	2	years	NN
55	61	27	2	with	OO
56	62	28	2	the	OO
57	63	29	2	demand	NN
58	64	30	2	that	OO
59	65	31	2	he	NN
60	66	32	2	join	VB
61	67	33	2	the	OO
62	68	34	2	Tunisian	JJ
63	69	35	2	dictator	NN
64	70	36	2	Ben	NN
65	71	37	2	Ali	NN
66	72	38	2	in	OO
67	73	39	2	Saudi	NN
68	74	40	2	Arabia	NN
69	76	1	3	By	OO
70	77	2	3	midafternoon	NN
71	79	4	3	the	OO
72	80	5	3	Egyptian	JJ
73	81	6	3	government	NN
74	82	7	3	had	VB
75	83	8	3	blocked	VB
76	84	9	3	Twitter	RB
77	86	11	3	websites	NN
78	87	12	3	of	OO
79	88	13	3	independent	JJ
80	89	14	3	newspapers	NN
81	90	15	3	and	OO
82	91	16	3	live	VB
83	92	17	3	streaming	VB
84	93	18	3	application	NN
85	94	19	3	bambuser	NN
86	96	1	4	There	OO
87	97	2	4	are	VB
88	98	3	4	reports	NN
89	99	4	4	that	OO
90	100	5	4	phone	NN
91	101	6	4	lines	NN
92	102	7	4	used	VB
93	103	8	4	by	OO
94	104	9	4	lawyers	NN
95	105	10	4	and	OO
96	106	11	4	activists	NN
97	107	12	4	providing	VB
98	108	13	4	support	NN
99	109	14	4	are	VB
100	110	15	4	also	RB
101	111	16	4	being	VB
102	112	17	4	suspended	VB
103	114	19	4	and	OO
104	115	20	4	many	JJ
105	116	21	4	phone	NN
106	117	22	4	lines	NN
107	118	23	4	have	VB
108	119	24	4	had	VB
109	120	25	4	data	NN
110	121	26	4	services	NN
111	122	27	4	disabled	JJ
112	124	1	5	At	OO
113	125	2	5	least	JJ
114	126	3	5	six	OO
115	127	4	5	protesters	NN
116	128	5	5	were	VB
117	129	6	5	killed	VB
118	130	7	5	with	OO
119	131	8	5	some	OO
120	132	9	5	reports	NN
121	133	10	5	that	OO
122	134	11	5	police	NN
123	135	12	5	in	OO
124	136	13	5	some	OO
125	137	14	5	cities	NN
126	138	15	5	used	VB
127	139	16	5	live	JJ
128	140	17	5	ammunition	NN
129	141	18	5	on	OO
130	142	19	5	crowds	NN
131	144	1	6	Over	OO
132	145	2	6	1000	OO
133	146	3	6	protesters	NN
134	147	4	6	have	VB
135	148	5	6	been	VB
136	149	6	6	arrested	VB
137	150	7	6	and	OO
138	151	8	6	Egyptian	JJ
139	152	9	6	telecoms	NN
140	153	10	6	are	VB
141	154	11	6	attempting	VB
142	155	12	6	to	OO
143	156	13	6	block	VB
144	157	14	6	access	NN
145	158	15	6	to	OO
146	159	16	6	sites	NN
147	160	17	6	where	RB
148	161	18	6	protesters	NN
149	162	19	6	can	VB
150	163	20	6	post	VB
151	164	21	6	coverage	NN
152	166	1	7	While	OO
153	167	2	7	few	JJ
154	168	3	7	people	NN
155	169	4	7	will	VB
156	170	5	7	openly	RB
157	171	6	7	admit	VB
158	172	7	7	to	OO
159	173	8	7	liking	VB
160	174	9	7	the	OO
161	175	10	7	dictatorship	NN
162	176	11	7	of	OO
163	177	12	7	Mubarak	NN
164	179	14	7	he	NN
165	180	15	7	is	VB
166	181	16	7	one	OO
167	182	17	7	of	OO
168	183	18	7	the	OO
169	184	19	7	largest	JJ
170	185	20	7	recipients	NN
171	186	21	7	of	OO
172	187	22	7	US	NN
173	188	23	7	aid	NN
174	189	24	7	and	OO
175	190	25	7	maintains	VB
176	191	26	7	his	JJ
177	192	27	7	power	NN
178	193	28	7	largely	RB
179	194	29	7	because	OO
180	195	30	7	of	OO
181	196	31	7	the	OO
182	197	32	7	US	NN
183	198	33	7	backing	NN
184	201	1	8	In	OO
185	202	2	8	a	OO
186	203	3	8	January	NN
187	204	4	8	27th	JJ
188	205	5	8	PBS	NN
189	206	6	8	interview	NN
190	208	8	8	Vice	NN
191	209	9	8	President	NN
192	210	10	8	Biden	NN
193	211	11	8	said	VB
194	212	12	8	he	NN
195	213	13	8	would	VB
196	214	14	8	not	RB
197	215	15	8	refer	VB
198	216	16	8	to	OO
199	217	17	8	Egyptian	JJ
200	218	18	8	President	NN
201	219	19	8	Mubarak	NN
202	220	20	8	as	OO
203	221	21	8	a	OO
204	222	22	8	dictator	NN
205	223	23	8	and	OO
206	224	24	8	instead	RB
207	225	25	8	called	VB
208	226	26	8	him	NN
209	227	27	8	an	OO
210	228	28	8	ally	RB
211	230	30	8	on	OO
212	231	31	8	a	OO
213	232	32	8	number	NN
214	233	33	8	of	OO
215	234	34	8	key	JJ
216	235	35	8	foreign	JJ
217	236	36	8	policy	NN
218	237	37	8	issues	NN
219	239	1	9	Comments	NN
220	240	2	9	by	OO
221	241	3	9	Hillary	NN
222	242	4	9	Clinton	NN
223	243	5	9	on	OO
224	244	6	9	January	NN
225	245	7	9	25th	JJ
226	246	8	9	made	VB
227	247	9	9	clear	JJ
228	248	10	9	that	OO
229	249	11	9	the	OO
230	250	12	9	Obama	NN
231	251	13	9	administration	NN
232	252	14	9	was	VB
233	253	15	9	reluctant	JJ
234	254	16	9	to	OO
235	255	17	9	change	VB
236	256	18	9	its	JJ
237	257	19	9	foreign	JJ
238	258	20	9	policy	NN
239	259	21	9	stance	NN
240	261	1	10	A	OO
241	262	2	10	writer	NN
242	263	3	10	on	OO
243	264	4	10	Bikyamasr	NN
244	265	5	10	notes	NN
245	267	7	10	For	OO
246	268	8	10	almost	RB
247	269	9	10	all	OO
248	270	10	10	observers	NN
249	272	12	10	activists	NN
250	273	13	10	and	OO
251	274	14	10	ontheground	JJ
252	275	15	10	demonstrators	NN
253	276	16	10	on	OO
254	277	17	10	Egypts	NN
255	278	18	10	streets	NN
256	279	19	10	on	OO
257	280	20	10	Tuesday	NN
258	282	22	10	American	NN
259	283	23	10	Secretary	NN
260	284	24	10	of	OO
261	285	25	10	State	NN
262	286	26	10	Hillary	NN
263	287	27	10	Clintons	NN
264	288	28	10	comments	NN
265	289	29	10	showed	VB
266	290	30	10	where	RB
267	291	31	10	Washington	NN
268	292	32	10	stands	VB
269	294	1	11	With	OO
270	295	2	11	the	OO
271	296	3	11	government	NN
272	298	5	11	not	RB
273	299	6	11	those	OO
274	300	7	11	demanding	VB
275	301	8	11	an	OO
276	302	9	11	end	NN
277	303	10	11	to	OO
278	304	11	11	decades	NN
279	305	12	11	of	OO
280	306	13	11	oppression	NN
281	307	14	11	and	OO
282	308	15	11	injustice	NN
283	310	1	12	She	NN
284	311	2	12	said	VB
285	312	3	12	in	OO
286	313	4	12	a	OO
287	314	5	12	statement	NN
288	315	6	12	issued	VB
289	316	7	12	by	OO
290	317	8	12	the	OO
291	318	9	12	State	NN
292	319	10	12	Department	NN
293	320	11	12	early	RB
294	321	12	12	Tuesday	NN
295	322	13	12	afternoon	NN
296	323	14	12	Washington	NN
297	324	15	12	time	NN
298	326	17	12	as	OO
299	327	18	12	police	NN
300	328	19	12	in	OO
301	329	20	12	Egypt	NN
302	330	21	12	were	VB
303	331	22	12	beginning	VB
304	332	23	12	a	OO
305	333	24	12	final	JJ
306	334	25	12	push	NN
307	335	26	12	of	OO
308	336	27	12	tear	VB
309	337	28	12	bombs	NN
310	339	30	12	water	NN
311	340	31	12	cannons	NN
312	341	32	12	and	OO
313	342	33	12	rubber	NN
314	343	34	12	bullets	NN
315	344	35	12	to	OO
316	345	36	12	disperse	VB
317	346	37	12	thousands	NN
318	347	38	12	of	OO
319	348	39	12	protesters	NN
320	350	41	12	that	OO
321	351	42	12	our	JJ
322	352	43	12	assessment	NN
323	353	44	12	is	VB
324	354	45	12	that	OO
325	355	46	12	the	OO
326	356	47	12	Egyptian	JJ
327	357	48	12	government	NN
328	358	49	12	is	VB
329	359	50	12	stable	JJ
330	360	51	12	and	OO
331	361	52	12	is	VB
332	362	53	12	looking	VB
333	363	54	12	for	OO
334	364	55	12	ways	NN
335	365	56	12	to	OO
336	366	57	12	respond	VB
337	367	58	12	to	OO
338	368	59	12	the	OO
339	369	60	12	legitimate	JJ
340	370	61	12	needs	NN
341	371	62	12	and	OO
342	372	63	12	interests	NN
343	373	64	12	of	OO
344	374	65	12	the	OO
345	375	66	12	Egyptian	JJ
346	376	67	12	people	NN
347	379	1	13	On	OO
348	380	2	13	January	NN
349	381	3	13	28th	JJ
350	382	4	13	hundreds	NN
351	383	5	13	of	OO
352	384	6	13	thousands	NN
353	385	7	13	of	OO
354	386	8	13	protesters	NN
355	387	9	13	took	VB
356	388	10	13	to	OO
357	389	11	13	the	OO
358	390	12	13	streets	NN
359	391	13	13	again	RB
360	392	14	13	as	OO
361	393	15	13	the	OO
362	394	16	13	government	NN
363	395	17	13	cut	VB
364	396	18	13	access	NN
365	397	19	13	to	OO
366	398	20	13	internet	NN
367	399	21	13	and	OO
368	400	22	13	phone	NN
369	401	23	13	service	NN
370	402	24	13	for	OO
371	403	25	13	much	JJ
372	404	26	13	of	OO
373	405	27	13	the	OO
374	406	28	13	country	NN
375	408	1	14	By	OO
376	409	2	14	the	OO
377	410	3	14	evening	NN
378	411	4	14	many	JJ
379	412	5	14	government	NN
380	413	6	14	buildings	NN
381	414	7	14	were	VB
382	415	8	14	on	OO
383	416	9	14	fire	NN
384	417	10	14	with	OO
385	418	11	14	many	JJ
386	419	12	14	protesters	NN
387	420	13	14	dead	JJ
388	421	14	14	and	OO
389	422	15	14	wounded	VB
390	423	16	14	from	OO
391	424	17	14	tear	VB
392	425	18	14	gas	NN
393	426	19	14	canisters	NN
394	427	20	14	and	OO
395	428	21	14	live	JJ
396	429	22	14	ammunition	NN
397	431	1	15	As	OO
398	432	2	15	the	OO
399	433	3	15	army	NN
400	434	4	15	took	VB
401	435	5	15	to	OO
402	436	6	15	the	OO
403	437	7	15	street	NN
404	439	9	15	replacing	VB
405	440	10	15	the	OO
406	441	11	15	police	NN
407	443	13	15	and	OO
408	444	14	15	initially	RB
409	445	15	15	not	RB
410	446	16	15	attacking	VB
411	447	17	15	protesters	NN
412	449	19	15	many	JJ
