indexInDoc	token	ssplit	posTag
1	WASHINGTON	--	NN
2	The	--	OO
3	Senate	--	NN
4	will	--	VB
5	reconvene	--	VB
6	at	--	OO
7	midday	--	NN
8	on	--	OO
9	Monday	--	NN
10	to	--	OO
11	consider	--	VB
12	changes	--	NN
13	to	--	OO
14	a	--	OO
15	House	--	NN
16	bill	--	NN
17	that	--	OO
18	would	--	VB
19	curtail	--	VB
20	the	--	OO
21	??	--	NN
22	authority	--	NN
23	to	--	OO
24	sweep	--	??
25	up	--	OO
26	vast	--	JJ
27	quantities	--	NN
28	of	--	OO
29	telephone	--	NN
30	records	--	NN
31	after	--	OO
32	the	--	OO
33	program	--	NN
34	which	--	OO
35	began	--	VB
36	after	--	OO
37	the	--	OO
38	2001	--	OO
39	terrorist	--	JJ
40	attacks	--	NN
41	expired	--	VB
42	at	--	OO
43	1201	--	OO
44	am	??	RB
45	Senator	--	NN
46	Rand	--	NN
47	Paul	--	NN
48	Republican	--	NN
49	of	--	OO
50	Kentucky	--	NN
51	blocked	--	VB
52	an	--	OO
53	extension	--	NN
54	of	--	OO
55	it	--	NN
56	during	--	OO
57	an	--	OO
58	extraordinary	--	JJ
59	and	--	OO
60	at	--	OO
61	times	--	NN
62	caustic	--	JJ
63	Sunday	--	NN
64	session	--	NN
65	of	--	OO
66	the	--	OO
67	Senate	SPLIT	NN
68	Hamstrung	--	??
69	by	--	OO
70	procedural	--	JJ
71	rules	--	NN
72	that	--	OO
73	require	--	VB
74	the	--	OO
75	consent	--	NN
76	of	--	OO
77	all	--	OO
78	lawmakers	--	NN
79	the	--	OO
80	Senate	--	NN
81	is	--	VB
82	unable	--	JJ
83	to	--	OO
84	restore	--	VB
85	the	--	OO
86	lapsed	--	??
87	authorities	--	NN
88	until	--	OO
89	at	--	OO
90	least	--	JJ
91	Tuesday	SPLIT	NN
92	The	--	OO
93	Senate	--	NN
94	was	--	VB
95	on	--	OO
96	recess	--	NN
97	last	--	JJ
98	week	SPLIT	NN
99	After	--	OO
100	senators	--	NN
101	pass	--	VB
102	a	--	OO
103	procedural	--	JJ
104	measure	--	NN
105	on	--	OO
106	Monday	--	NN
107	to	--	OO
108	consider	--	VB
109	the	--	OO
110	House	--	NN
111	bill	--	NN
112	they	--	NN
113	will	--	VB
114	begin	--	VB
115	amending	--	VB
116	it	--	NN
117	a	--	OO
118	process	--	NN
119	that	--	OO
120	could	--	VB
121	take	--	VB
122	one	--	OO
123	to	--	OO
124	three	--	OO
125	days	SPLIT	NN
126	Mr	--	NN
127	stand	--	??
128	may	--	VB
129	have	--	VB
130	forced	--	VB
131	the	--	OO
132	temporary	--	JJ
