indexInDoc	token	ssplit	posTag
1	The	--	OO
2	European	--	JJ
3	insurance	--	NN
4	sector	--	NN
5	will	--	VB
6	soon	--	RB
7	be	--	VB
8	faced	--	VB
9	with	--	OO
10	the	--	OO
11	application	--	NN
12	of	--	OO
13	Solvency	--	NN
14	2	--	OO
15	regulation	--	NN
16	norms	SPLIT	NN
17	It	--	NN
18	will	--	VB
19	create	--	VB
20	a	--	OO
21	real	--	JJ
22	change	--	NN
23	in	--	OO
24	risk	--	NN
25	management	--	NN
26	practices	SPLIT	NN
27	The	--	OO
28	ORSA	--	NN
29	approach	--	NN
30	of	--	OO
31	the	--	OO
32	second	--	JJ
33	pillar	--	NN
34	makes	--	VB
35	the	--	OO
36	capital	--	NN
37	allocation	--	NN
38	an	--	OO
39	important	--	JJ
40	exercise	--	NN
41	for	--	OO
42	all	--	OO
43	insurers	--	NN
44	and	--	OO
45	specially	--	RB
46	for	--	OO
47	groups	SPLIT	NN
48	Considering	--	VB
49	multibranches	--	NN
50	firms	--	NN
51	capital	--	NN
52	allocation	--	NN
53	has	--	VB
54	to	--	OO
55	be	--	VB
56	based	--	VB
57	on	--	OO
58	a	--	OO
59	multivariate	--	JJ
60	risk	--	NN
61	modeling	SPLIT	NN
62	Several	--	JJ
63	allocation	--	NN
64	methods	--	NN
65	are	--	VB
66	present	--	JJ
67	in	--	OO
68	the	--	OO
69	literature	--	NN
70	and	--	OO
71	insurers	--	NN
72	practices	SPLIT	NN
73	In	--	OO
74	this	--	OO
75	paper	--	NN
76	we	--	NN
77	present	--	VB
78	a	--	OO
79	new	--	JJ
80	risk	--	NN
81	allocation	--	NN
82	method	--	NN
83	we	--	NN
84	study	--	VB
85	its	--	JJ
86	coherence	--	NN
87	using	--	VB
88	an	--	OO
89	axiomatic	--	JJ
90	approach	--	NN
91	and	--	OO
92	we	--	NN
93	try	--	VB
94	to	--	OO
95	define	--	VB
96	what	--	NN
97	the	--	OO
98	best	--	JJ
99	allocation	--	NN
100	choice	--	NN
101	for	--	OO
102	an	--	OO
103	insurance	--	NN
104	group	--	NN
105	is	SPLIT	VB
106	Introduction	--	NN
107	Solvency	--	NN
108	2	--	OO
109	standards	--	NN
110	will	--	VB
111	make	--	VB
112	a	--	OO
113	radical	--	JJ
114	change	--	NN
115	in	--	OO
116	risk	--	NN
117	management	--	NN
118	practices	--	NN
119	in	--	OO
120	the	--	OO
121	actuarial	--	JJ
122	sector	SPLIT	NN
123	They	--	NN
124	are	--	VB
125	based	--	VB
126	on	--	OO
127	a	--	OO
128	strengthening	--	NN
129	of	--	OO
130	risk	--	NN
