indexInDoc	token	ssplit	posTag
1	Emma	--	NN
2	Woodhouse	--	NN
3	handsome	--	JJ
4	clever	--	JJ
5	and	--	OO
6	rich	--	JJ
7	with	--	OO
8	a	--	OO
9	comfortable	--	JJ
10	home	--	NN
11	and	--	OO
12	happy	--	JJ
13	disposition	--	NN
14	seemed	--	VB
15	to	--	OO
16	unite	--	VB
17	some	--	OO
18	of	--	OO
19	the	--	OO
20	best	--	JJ
21	blessings	--	NN
22	of	--	OO
23	existence	--	NN
24	and	--	OO
25	had	--	VB
26	lived	--	VB
27	nearly	--	RB
28	twentyone	--	OO
29	years	--	NN
30	in	--	OO
31	the	--	OO
32	world	--	NN
33	with	--	OO
34	very	--	RB
35	little	--	JJ
36	to	--	OO
37	distress	--	NN
38	or	--	OO
39	vex	--	VB
40	her	SPLIT	NN
41	She	--	NN
42	was	--	VB
43	the	--	OO
44	youngest	--	JJ
45	of	--	OO
46	the	--	OO
47	two	--	OO
48	daughters	--	NN
49	of	--	OO
50	a	--	OO
51	most	--	RB
52	affectionate	--	JJ
53	indulgent	--	JJ
54	father	--	NN
55	and	--	OO
56	had	--	VB
57	in	--	OO
58	consequence	--	NN
59	of	--	OO
60	her	--	JJ
61	sister	--	NN
62	s	--	OO
63	marriage	--	NN
64	been	--	VB
65	mistress	--	NN
66	of	--	OO
67	his	--	JJ
68	house	--	NN
69	from	--	OO
70	a	--	OO
71	very	--	RB
72	early	--	JJ
73	period	SPLIT	NN
74	Her	--	JJ
75	mother	--	NN
76	had	--	VB
77	died	--	VB
78	too	--	RB
79	long	--	RB
80	ago	--	RB
81	for	--	OO
82	her	--	JJ
83	to	--	OO
84	have	--	VB
85	more	--	JJ
86	than	--	OO
87	an	--	OO
88	indistinct	--	JJ
89	remembrance	--	NN
90	of	--	OO
91	her	--	JJ
92	caresses	--	NN
93	and	--	OO
94	her	--	JJ
95	place	--	NN
96	had	--	VB
97	been	--	VB
98	supplied	--	VB
99	by	--	OO
100	an	--	OO
101	excellent	--	JJ
102	woman	--	NN
103	as	--	OO
104	governess	--	NN
105	who	--	NN
106	had	--	VB
107	fallen	--	VB
108	little	--	JJ
109	short	--	JJ
110	of	--	OO
111	a	--	OO
112	mother	--	NN
113	in	--	OO
114	affection	SPLIT	NN
115	Sixteen	--	OO
116	years	--	NN
117	had	--	VB
118	Miss	--	NN
119	Taylor	--	NN
120	been	--	VB
121	in	--	OO
122	Mr	--	NN
123	Woodhouse	--	NN
124	s	--	OO
125	family	--	NN
126	less	--	JJ
127	as	--	OO
128	a	--	OO
129	governess	--	NN
130	than	--	OO
131	a	--	OO
132	friend	--	NN
133	very	--	RB
134	fond	--	JJ
135	of	--	OO
136	both	--	OO
137	daughters	--	NN
138	but	--	OO
139	particularly	--	RB
140	of	--	OO
141	Emma	SPLIT	NN
142	Between	--	OO
143	_	--	??
144	it	--	NN
145	was	--	VB
146	more	--	RB
147	the	--	OO
148	intimacy	--	NN
149	of	--	OO
150	sisters	SPLIT	NN
151	Even	--	RB
152	before	--	OO
153	Miss	--	NN
154	Taylor	--	NN
155	had	--	VB
156	ceased	--	VB
157	to	--	OO
158	hold	--	VB
159	the	--	OO
160	nominal	--	JJ
161	office	--	NN
162	of	--	OO
163	governess	--	NN
164	the	--	OO
165	mildness	--	NN
166	of	--	OO
167	her	--	JJ
168	temper	--	NN
169	had	--	VB
170	hardly	--	RB
171	allowed	--	VB
172	her	--	JJ
173	to	--	OO
174	impose	--	VB
175	any	--	OO
176	restraint	--	NN
177	and	--	OO
178	the	--	OO
179	shadow	--	NN
180	of	--	OO
181	authority	--	NN
182	being	--	VB
183	now	--	RB
184	long	--	RB
185	passed	--	VB
186	away	--	RB
187	they	--	NN
188	had	--	VB
189	been	--	VB
190	living	--	VB
191	together	--	RB
192	as	--	OO
193	friend	--	NN
194	and	--	OO
195	friend	--	NN
196	very	--	RB
197	mutually	--	RB
198	attached	--	VB
199	and	--	OO
200	Emma	--	NN
201	doing	--	VB
202	just	--	RB
203	what	--	NN
204	she	--	NN
205	liked	--	VB
206	highly	--	RB
207	esteeming	--	??
208	Miss	--	NN
209	Taylor	--	NN
210	s	--	OO
211	judgment	--	NN
212	but	--	OO
213	directed	--	VB
214	chiefly	--	RB
215	by	--	OO
216	her	--	JJ
217	own	SPLIT	JJ
218	The	--	OO
219	real	--	JJ
220	evils	--	NN
221	indeed	--	RB
222	of	--	OO
223	Emma	--	NN
224	s	--	OO
225	situation	--	NN
226	were	--	VB
227	the	--	OO
228	power	--	NN
229	of	--	OO
230	having	--	VB
231	rather	--	RB
232	too	--	RB
233	much	--	??
234	her	--	JJ
235	own	--	JJ
236	way	--	NN
237	and	--	OO
238	a	--	OO
239	disposition	--	NN
240	to	--	OO
241	think	--	VB
242	a	--	OO
243	little	--	??
244	too	--	RB
245	well	--	RB
246	of	--	OO
247	herself	--	NN
248	these	--	OO
249	were	--	VB
250	the	--	OO
251	disadvantages	--	NN
252	which	--	OO
253	threatened	--	VB
254	alloy	--	NN
255	to	--	OO
256	her	--	JJ
257	many	--	JJ
258	enjoyments	SPLIT	NN
259	The	--	OO
260	danger	--	NN
261	however	--	RB
262	was	--	VB
263	at	--	OO
264	present	--	JJ
265	so	--	??
266	unperceived	--	JJ
267	that	--	OO
268	they	--	NN
269	did	--	VB
270	not	--	RB
271	by	--	OO
272	any	--	OO
273	means	--	NN
274	rank	--	??
275	as	--	OO
276	misfortunes	--	NN
277	with	--	OO
278	her	SPLIT	NN
279	Sorrow	--	??
280	gentle	--	JJ
281	not	--	RB
282	at	--	OO
283	all	--	OO
284	in	--	OO
285	the	--	OO
286	shape	--	NN
287	of	--	OO
288	any	--	OO
289	disagreeable	SPLIT	JJ
290	Taylor	--	NN
291	married	SPLIT	VB
292	It	--	NN
293	was	--	VB
294	Miss	--	NN
295	Taylor	--	NN
296	s	--	OO
297	loss	--	NN
298	which	--	OO
299	first	--	RB
300	brought	--	VB
301	grief	SPLIT	NN
302	It	--	NN
303	was	--	VB
304	on	--	OO
305	the	--	OO
306	weddingday	--	??
307	of	--	OO
308	this	--	OO
309	beloved	--	JJ
310	friend	--	NN
311	that	--	OO
312	Emma	--	NN
313	first	--	RB
314	sat	--	VB
315	in	--	OO
316	mournful	--	JJ
317	thought	--	NN
318	of	--	OO
319	any	--	OO
320	continuance	SPLIT	NN
321	The	--	OO
322	wedding	--	NN
323	over	--	OO
324	and	--	OO
325	the	--	OO
326	bridepeople	--	JJ
327	gone	--	VB
328	her	--	JJ
329	father	--	NN
330	and	--	OO
331	herself	--	NN
332	were	--	VB
333	left	--	VB
334	to	--	OO
335	dine	--	VB
336	together	--	RB
337	with	--	OO
338	no	--	OO
339	prospect	--	NN
340	of	--	OO
341	a	--	OO
342	third	--	JJ
343	to	--	OO
344	cheer	--	VB
345	a	--	OO
346	long	--	JJ
347	evening	SPLIT	NN
348	Her	--	JJ
349	father	--	NN
350	composed	--	VB
351	himself	--	NN
352	to	--	OO
353	sleep	--	VB
354	after	--	OO
355	dinner	--	NN
356	as	--	OO
357	usual	--	JJ
358	and	--	OO
359	she	--	NN
360	had	--	VB
361	then	--	RB
362	only	--	RB
363	to	--	OO
364	sit	--	VB
365	and	--	OO
366	think	--	VB
367	of	--	OO
368	what	--	NN
369	she	--	NN
370	had	--	VB
371	lost	SPLIT	VB
372	The	--	OO
373	event	--	NN
374	had	--	VB
375	every	--	OO
376	promise	--	NN
377	of	--	OO
378	happiness	--	NN
379	for	--	OO
380	her	--	JJ
381	friend	SPLIT	NN
382	Mr	--	NN
383	Weston	--	NN
384	was	--	VB
385	a	--	OO
386	man	--	NN
387	of	--	OO
388	unexceptionable	--	JJ
389	character	--	NN
390	easy	--	JJ
391	fortune	--	NN
392	suitable	--	JJ
393	age	--	NN
394	and	--	OO
395	pleasant	--	JJ
396	manners	--	NN
397	and	--	OO
398	there	--	OO
399	was	--	VB
400	some	--	OO
401	satisfaction	--	NN
402	in	--	OO
403	considering	--	VB
404	with	--	OO
405	what	--	NN
406	selfdenying	--	JJ
407	generous	--	JJ
408	friendship	--	NN
409	she	--	NN
410	had	--	VB
411	always	--	RB
412	wished	--	VB
413	and	--	OO
414	promoted	--	VB
415	the	--	OO
416	match	--	NN
417	but	--	OO
418	it	--	NN
419	was	--	VB
420	a	--	OO
421	black	--	JJ
422	morning	--	NN
423	s	--	OO
424	work	--	NN
425	for	--	OO
426	her	SPLIT	NN
427	The	--	OO
428	want	--	??
429	of	--	OO
430	Miss	--	NN
431	Taylor	--	NN
432	would	--	VB
433	be	--	VB
434	felt	--	VB
435	every	--	OO
436	hour	--	NN
437	of	--	OO
438	every	--	OO
439	day	SPLIT	NN
440	She	--	NN
441	recalled	--	VB
442	her	--	JJ
443	past	--	JJ
444	kindness	--	NN
445	the	--	OO
446	affection	--	NN
447	of	--	OO
448	sixteen	--	OO
449	she	--	NN
450	had	--	VB
451	taught	--	VB
452	and	--	OO
453	how	--	RB
454	she	--	NN
455	had	--	VB
456	played	--	VB
457	with	--	OO
458	her	--	??
459	from	--	OO
460	five	--	OO
461	years	--	NN
462	she	--	NN
463	had	--	VB
464	devoted	--	VB
465	all	--	OO
466	her	--	JJ
467	powers	--	NN
468	to	--	OO
469	attach	--	VB
470	and	--	OO
471	amuse	--	VB
472	her	--	??
473	in	--	OO
474	how	--	RB
475	nursed	--	VB
476	her	--	??
477	through	--	OO
478	the	--	OO
479	various	--	JJ
480	illnesses	--	NN
481	of	--	OO
482	childhood	SPLIT	NN
483	A	--	OO
484	large	--	JJ
485	debt	--	NN
486	of	--	OO
487	gratitude	--	NN
488	was	--	VB
489	owing	--	VB
490	here	--	RB
491	but	--	OO
492	the	--	OO
493	intercourse	--	NN
494	of	--	OO
495	the	--	OO
496	last	--	JJ
497	seven	--	OO
498	years	--	NN
499	the	--	OO
500	equal	--	JJ
501	footing	--	NN
502	and	--	OO
503	perfect	--	JJ
504	unreserve	--	NN
505	which	--	OO
506	had	--	VB
507	soon	--	RB
508	followed	--	VB
509	Isabella	--	NN
510	s	--	OO
511	marriage	--	NN
512	on	--	OO
513	their	--	JJ
514	being	--	VB
515	left	--	VB
516	to	--	OO
517	each	--	OO
518	other	--	JJ
519	was	--	VB
520	yet	--	RB
521	a	--	OO
522	dearer	--	??
523	tenderer	--	NN
524	recollection	SPLIT	NN
525	She	--	NN
526	had	--	VB
527	been	--	VB
528	a	--	OO
529	friend	--	NN
530	and	--	OO
531	companion	--	NN
532	such	--	JJ
533	as	--	OO
534	few	--	JJ
535	possessed	--	VB
536	intelligent	--	JJ
537	wellinformed	--	JJ
538	useful	--	JJ
539	gentle	--	JJ
540	knowing	--	VB
541	all	--	OO
542	the	--	OO
543	ways	--	NN
544	of	--	OO
545	the	--	OO
546	family	--	NN
547	interested	--	JJ
548	in	--	OO
549	all	--	OO
550	its	--	JJ
551	concerns	--	NN
552	and	--	OO
553	peculiarly	--	RB
554	interested	--	JJ
555	in	--	OO
556	herself	--	NN
557	in	--	OO
558	every	--	OO
559	pleasure	--	NN
560	every	--	OO
561	scheme	--	NN
562	of	--	OO
563	to	--	OO
564	whom	--	NN
565	she	--	NN
566	could	--	VB
567	speak	--	VB
568	every	--	OO
569	thought	--	NN
570	as	--	OO
571	it	--	NN
572	arose	--	VB
573	and	--	OO
574	who	--	NN
575	had	--	VB
576	such	--	JJ
577	an	--	OO
578	affection	--	NN
579	for	--	OO
580	her	--	JJ
581	as	--	??
582	could	--	VB
583	never	--	RB
584	find	--	VB
585	fault	SPLIT	NN
586	How	--	RB
587	was	--	VB
588	she	--	NN
589	to	--	OO
590	bear	--	VB
591	the	??	OO
592	was	--	VB
593	true	--	JJ
594	that	--	OO
595	her	--	JJ
596	friend	--	NN
597	was	--	VB
598	going	--	VB
599	only	--	RB
600	half	--	OO
601	a	--	OO
602	mile	--	NN
603	from	--	OO
604	them	--	NN
605	but	--	OO
606	Emma	--	NN
607	was	--	VB
608	aware	--	JJ
609	that	--	OO
610	great	--	JJ
611	must	--	VB
612	be	--	VB
613	the	--	OO
614	difference	--	NN
615	between	--	OO
616	a	--	OO
617	Mrs	--	NN
618	Weston	--	NN
619	only	--	RB
620	half	--	OO
621	a	--	OO
622	mile	--	NN
623	from	--	OO
