indexInDoc	token	ssplit	posTag
1	In	--	OO
2	a	--	OO
3	day	--	NN
4	of	--	OO
5	protests	--	NN
6	in	--	OO
7	Egypt	--	NN
8	hundreds	--	NN
9	of	--	OO
10	thousands	--	NN
11	of	--	OO
12	people	--	NN
13	marched	--	VB
14	in	--	OO
15	the	--	OO
16	streets	--	NN
17	on	--	OO
18	January	--	NN
19	25th	--	??
20	facing	--	VB
21	down	--	OO
22	riot	--	NN
23	police	--	NN
24	water	--	NN
25	cannons	--	NN
26	baton	--	NN
27	charges	--	NN
28	and	--	OO
29	tear	--	VB
30	gas	SPLIT	NN
31	The	--	OO
32	people	--	NN
33	are	--	VB
34	chanting	--	VB
35	for	--	OO
36	freedom	--	NN
37	and	--	OO
38	an	--	OO
39	end	--	NN
40	to	--	OO
41	the	--	OO
42	corrupt	--	JJ
43	administration	--	NN
44	of	--	OO
45	Hosni	--	NN
46	Mubarak	--	NN
47	who	--	NN
48	has	--	VB
49	been	--	VB
50	in	--	OO
51	power	--	NN
52	for	--	OO
53	30	--	OO
54	years	--	NN
55	with	--	OO
56	the	--	OO
57	demand	--	NN
58	that	--	OO
59	he	--	NN
60	join	--	VB
61	the	--	OO
62	Tunisian	--	JJ
63	dictator	--	NN
64	Ben	--	NN
65	Ali	--	NN
66	in	--	OO
67	Saudi	--	NN
68	Arabia	SPLIT	NN
69	By	--	OO
70	midafternoon	--	NN
71	the	--	OO
72	Egyptian	--	JJ
73	government	--	NN
74	had	--	VB
75	blocked	--	VB
76	Twitter	--	??
77	websites	--	NN
78	of	--	OO
79	independent	--	JJ
80	newspapers	--	NN
81	and	--	OO
82	live	--	VB
83	streaming	--	??
84	application	--	NN
85	bambuser	SPLIT	NN
86	There	--	OO
87	are	--	VB
88	reports	--	NN
89	that	--	OO
90	phone	--	NN
91	lines	--	NN
92	used	--	VB
93	by	--	OO
94	lawyers	--	NN
95	and	--	OO
96	activists	--	NN
97	providing	--	VB
98	support	--	NN
99	are	--	VB
100	also	--	RB
101	being	--	VB
102	suspended	--	VB
103	and	--	OO
104	many	--	JJ
105	phone	--	NN
106	lines	--	NN
107	have	--	VB
108	had	--	VB
109	data	--	NN
110	services	--	NN
111	disabled	SPLIT	JJ
112	At	--	OO
113	least	--	JJ
