indexInDoc	indexInText	token	taggerPOS	goldPOS	correct?
1	1	Real	JJ	JJ	YES
2	2	world	NN	NN	YES
3	3	networks	NN	NN	YES
4	4	are	VB	VB	YES
5	5	often	RB	RB	YES
6	6	large	JJ	JJ	YES
7	8	there	OO	OO	YES
8	9	are	VB	VB	YES
9	10	tens	NN	NN	YES
10	11	of	OO	OO	YES
11	12	thousands	NN	NN	YES
12	13	of	OO	OO	YES
13	14	human	JJ	JJ	YES
14	15	genes	NN	NN	YES
15	16	and	OO	OO	YES
16	17	trillions	NN	NN	YES
17	18	of	OO	OO	YES
18	19	connections	NN	NN	YES
19	20	in	OO	OO	YES
20	21	the	OO	OO	YES
21	22	human	JJ	JJ	YES
22	23	brain	NN	NN	YES
23	25	Such	JJ	JJ	YES
24	26	scales	NN	NN	YES
25	27	make	VB	VB	YES
26	28	human	JJ	JJ	YES
27	29	visual	JJ	JJ	YES
28	30	processing	NN	NN	YES
29	31	of	OO	OO	YES
30	32	and	OO	OO	YES
31	33	decision	NN	NN	YES
32	34	making	VB	VB	YES
33	35	with	OO	OO	YES
34	36	the	OO	OO	YES
35	37	whole	JJ	JJ	YES
36	38	network	NN	NN	YES
37	39	prohibitive	JJ	NN	NO
38	41	This	OO	OO	YES
39	42	paper	NN	NN	YES
40	43	investigates	VB	VB	YES
41	44	algorithms	NN	NN	YES
42	45	to	OO	OO	YES
43	46	identify	VB	VB	YES
44	47	provably	RB	RB	YES
45	48	good	JJ	JJ	YES
46	49	approximations	NN	NN	YES
47	50	of	OO	OO	YES
48	51	the	OO	OO	YES
49	52	network	NN	NN	YES
50	53	topology	NN	NN	YES
51	55	which	OO	OO	YES
52	56	capture	VB	VB	YES
53	57	important	JJ	JJ	YES
54	58	system	NN	NN	YES
55	59	dynamics	NN	NN	YES
56	60	while	OO	OO	YES
57	61	significantly	RB	RB	YES
58	62	reducing	VB	VB	YES
59	63	the	OO	OO	YES
60	64	number	NN	NN	YES
61	65	of	OO	OO	YES
62	66	edges	NN	NN	YES
63	67	to	OO	OO	YES
64	68	enable	VB	VB	YES
65	69	tractable	JJ	JJ	YES
66	70	analysis	NN	NN	YES
67	72	1	OO	OO	YES
68	79	15	OO	OO	YES
69	80	Jun	NN	NN	YES
70	81	2015	OO	OO	YES
71	82	Quinn	NN	NN	YES
72	84	Pinar	NN	NN	YES
73	86	and	OO	OO	YES
74	87	Kiyavash	NN	NN	YES
75	88	Across	OO	OO	YES
76	89	different	JJ	JJ	YES
77	90	domains	NN	NN	YES
78	92	edges	NN	NN	YES
79	93	are	VB	VB	YES
80	94	used	VB	VB	YES
81	95	to	OO	OO	YES
82	96	model	VB	VB	YES
83	97	various	JJ	JJ	YES
84	98	kinds	NN	NN	YES
85	99	of	OO	OO	YES
86	100	ties	NN	NN	YES
87	101	such	JJ	JJ	YES
88	102	as	OO	OO	YES
89	103	physical	JJ	JJ	YES
90	104	connections	NN	NN	YES
91	105	or	OO	OO	YES
92	106	dynamic	JJ	JJ	YES
93	107	relationships	NN	NN	YES
94	109	For	OO	OO	YES
95	110	instance	NN	NN	YES
96	112	in	OO	OO	YES
97	113	depicting	VB	VB	YES
98	114	a	OO	OO	YES
99	115	computer	NN	NN	YES
100	116	network	NN	NN	YES
101	118	an	OO	OO	YES
102	119	edge	NN	NN	YES
103	120	might	VB	VB	YES
104	121	correspond	VB	VB	YES
105	122	to	OO	OO	YES
106	123	a	OO	OO	YES
107	124	physical	JJ	JJ	YES
108	125	wire	NN	NN	YES
109	126	or	OO	OO	YES
110	127	a	OO	OO	YES
111	128	packet	NN	NN	YES
112	129	exchange	NN	NN	YES
113	130	between	OO	OO	YES
114	131	a	OO	OO	YES
115	132	sender	NN	NN	YES
116	133	and	OO	OO	YES
117	134	a	OO	OO	YES
118	135	receiver	NN	NN	YES
119	137	For	OO	OO	YES
120	138	the	OO	OO	YES
121	139	human	JJ	JJ	YES
122	140	brain	NN	NN	YES
123	142	edges	NN	NN	YES
124	143	could	VB	VB	YES
125	144	correspond	VB	VB	YES
126	145	to	OO	OO	YES
127	146	information	NN	NN	YES
128	147	flow	NN	NN	YES
129	148	between	OO	OO	YES
130	149	different	JJ	JJ	YES
131	150	cells	NN	NN	YES
132	151	or	OO	OO	YES
133	152	brain	NN	NN	YES
134	153	regions	NN	NN	YES
135	155	Takahashi	NN	NN	YES
136	156	et	OO	OO	YES
137	157	al	OO	NN	NO
138	159	2015	OO	OO	YES
139	161	Kim	NN	NN	YES
140	162	et	OO	OO	YES
141	163	al	OO	NN	NO
142	165	2014	OO	OO	YES
143	168	For	OO	OO	YES
144	169	online	JJ	JJ	YES
145	170	social	JJ	JJ	YES
146	171	networks	NN	NN	YES
147	173	edges	NN	NN	YES
148	174	might	VB	VB	YES
149	175	represent	VB	VB	YES
150	177	relationships	NN	NN	YES
151	178	or	OO	OO	YES
152	179	pairs	NN	NN	YES
153	180	of	OO	OO	YES
154	181	users	NN	NN	YES
155	182	that	OO	OO	YES
156	183	frequently	RB	RB	YES
157	184	message	NN	VB	NO
158	185	each	OO	OO	YES
159	186	other	JJ	JJ	YES
160	188	Ver	NN	NN	YES
161	189	Steeg	NN	NN	YES
162	190	and	OO	OO	YES
163	191	Galstyan	NN	NN	YES
164	193	2012	OO	OO	YES
165	195	2013	OO	OO	YES
166	198	Edges	NN	NN	YES
167	199	that	OO	OO	YES
168	200	represent	VB	VB	YES
169	201	dynamics	NN	NN	YES
170	202	often	RB	RB	YES
171	203	must	VB	VB	YES
172	204	be	VB	VB	YES
173	205	inferred	VB	VB	YES
174	206	from	OO	OO	YES
175	207	activity	NN	NN	YES
176	209	in	OO	OO	YES
177	210	some	OO	OO	YES
178	211	cases	NN	NN	YES
179	212	statistically	RB	RB	YES
180	214	There	OO	OO	YES
181	215	is	VB	VB	YES
182	216	a	OO	OO	YES
183	217	large	JJ	JJ	YES
184	218	literature	NN	NN	YES
185	219	on	OO	OO	YES
186	220	graphs	NN	NN	YES
187	221	whose	JJ	JJ	YES
188	222	edges	NN	NN	YES
189	223	depict	VB	VB	YES
190	224	statistical	JJ	JJ	YES
191	225	relationships	NN	NN	YES
192	227	Markov	NN	NN	YES
193	228	and	OO	OO	YES
194	229	Bayesian	JJ	NN	NO
195	230	networks	NN	NN	YES
196	231	are	VB	VB	YES
197	233	probabilistic	JJ	JJ	YES
198	234	graphical	JJ	JJ	YES
199	235	models	NN	NN	YES
200	236	whose	JJ	JJ	YES
201	237	edges	NN	NN	YES
202	238	represent	VB	VB	YES
203	239	correlation	NN	NN	YES
204	241	Many	JJ	JJ	YES
205	242	methods	NN	NN	YES
206	243	have	VB	VB	YES
207	244	been	VB	VB	YES
208	245	proposed	VB	VB	YES
209	246	to	OO	OO	YES
210	247	infer	VB	VB	YES
211	248	and	OO	OO	YES
212	249	approximate	JJ	VB	NO
213	250	the	OO	OO	YES
214	251	networks	NN	NN	YES
215	252	from	OO	OO	YES
216	254	data	NN	NN	YES
217	256	often	RB	RB	YES
218	257	relying	VB	VB	YES
219	258	on	OO	OO	YES
220	259	heuristics	NN	NN	YES
221	261	Pretty	NN	RB	NO
222	262	soon	RB	RB	YES
223	263	I	NN	NN	YES
224	264	wanted	VB	VB	YES
225	265	to	OO	OO	YES
226	266	smoke	VB	VB	YES
227	268	and	OO	OO	YES
228	269	asked	VB	VB	YES
229	270	the	OO	OO	YES
