indexInDoc	indexInText	token	taggerPOS	goldPOS	correct?
1	1	Real	JJ	JJ	YES
2	2	world	NN	NN	YES
3	3	networks	NN	NN	YES
4	4	are	VB	VB	YES
5	5	often	RB	RB	YES
6	6	large	JJ	JJ	YES
7	7	there	OO	OO	YES
8	8	are	VB	VB	YES
9	9	tens	NN	NN	YES
10	10	of	OO	OO	YES
11	11	thousands	NN	NN	YES
12	12	of	OO	OO	YES
13	13	human	JJ	JJ	YES
14	14	genes	NN	NN	YES
15	15	and	OO	OO	YES
16	16	trillions	NN	NN	YES
17	17	of	OO	OO	YES
18	18	connections	NN	NN	YES
19	19	in	OO	OO	YES
20	20	the	OO	OO	YES
21	21	human	JJ	JJ	YES
22	22	brain	NN	NN	YES
23	24	Such	JJ	JJ	YES
24	25	scales	NN	NN	YES
25	26	make	VB	VB	YES
26	27	human	JJ	JJ	YES
27	28	visual	JJ	JJ	YES
28	29	processing	NN	NN	YES
29	30	of	OO	OO	YES
30	31	and	OO	OO	YES
31	32	decision	NN	NN	YES
32	33	making	NN	VB	NO
33	34	with	OO	OO	YES
34	35	the	OO	OO	YES
35	36	whole	JJ	JJ	YES
36	37	network	NN	NN	YES
37	38	prohibitive	NN	NN	YES
38	40	This	OO	OO	YES
39	41	paper	NN	NN	YES
40	42	investigates	VB	VB	YES
41	43	algorithms	OO	NN	NO
42	44	to	OO	OO	YES
43	45	identify	VB	VB	YES
44	46	provably	RB	RB	YES
45	47	good	JJ	JJ	YES
46	48	approximations	NN	NN	YES
47	49	of	OO	OO	YES
48	50	the	OO	OO	YES
49	51	network	NN	NN	YES
50	52	topology	NN	NN	YES
51	54	which	OO	OO	YES
52	55	capture	VB	VB	YES
53	56	important	JJ	JJ	YES
54	57	system	NN	NN	YES
55	58	dynamics	NN	NN	YES
56	59	while	OO	OO	YES
57	60	significantly	RB	RB	YES
58	61	reducing	VB	VB	YES
59	62	the	OO	OO	YES
60	63	number	NN	NN	YES
61	64	of	OO	OO	YES
62	65	edges	NN	NN	YES
63	66	to	OO	OO	YES
64	67	enable	VB	VB	YES
65	68	tractable	JJ	JJ	YES
66	69	analysis	NN	NN	YES
67	71	1	OO	OO	YES
68	76	15	OO	OO	YES
69	77	Jun	NN	NN	YES
70	78	2015	OO	OO	YES
71	79	Quinn	NN	NN	YES
72	81	Pinar	NN	NN	YES
73	83	and	OO	OO	YES
74	84	Kiyavash	NN	NN	YES
75	85	Across	NN	OO	NO
76	86	different	JJ	JJ	YES
77	87	domains	NN	NN	YES
78	89	edges	NN	NN	YES
79	90	are	VB	VB	YES
80	91	used	VB	VB	YES
81	92	to	OO	OO	YES
82	93	model	VB	VB	YES
83	94	various	JJ	JJ	YES
84	95	kinds	NN	NN	YES
85	96	of	OO	OO	YES
86	97	ties	NN	NN	YES
87	98	such	JJ	JJ	YES
88	99	as	OO	OO	YES
89	100	physical	JJ	JJ	YES
90	101	connections	NN	NN	YES
91	102	or	OO	OO	YES
92	103	dynamic	JJ	JJ	YES
93	104	relationships	NN	NN	YES
94	106	For	OO	OO	YES
95	107	instance	NN	NN	YES
96	109	in	OO	OO	YES
97	110	depicting	VB	VB	YES
98	111	a	OO	OO	YES
99	112	computer	NN	NN	YES
100	113	network	NN	NN	YES
101	115	an	OO	OO	YES
102	116	edge	NN	NN	YES
103	117	might	VB	VB	YES
104	118	correspond	VB	VB	YES
105	119	to	OO	OO	YES
106	120	a	OO	OO	YES
107	121	physical	JJ	JJ	YES
108	122	wire	NN	NN	YES
109	123	or	OO	OO	YES
110	124	a	OO	OO	YES
111	125	packet	JJ	NN	NO
112	126	exchange	NN	NN	YES
113	127	between	OO	OO	YES
114	128	a	OO	OO	YES
115	129	sender	NN	NN	YES
116	130	and	OO	OO	YES
117	131	a	OO	OO	YES
118	132	receiver	NN	NN	YES
119	134	For	OO	OO	YES
120	135	the	OO	OO	YES
121	136	human	JJ	JJ	YES
122	137	brain	NN	NN	YES
123	139	edges	NN	NN	YES
124	140	could	VB	VB	YES
125	141	correspond	VB	VB	YES
126	142	to	OO	OO	YES
127	143	information	NN	NN	YES
128	144	flow	NN	NN	YES
129	145	between	OO	OO	YES
130	146	different	JJ	JJ	YES
131	147	cells	NN	NN	YES
132	148	or	OO	OO	YES
133	149	brain	NN	NN	YES
134	150	regions	NN	NN	YES
135	152	Takahashi	NN	NN	YES
136	153	et	VB	OO	NO
137	154	al	RB	NN	NO
138	156	2015	OO	OO	YES
139	158	Kim	NN	NN	YES
140	159	et	OO	OO	YES
141	160	al	NN	NN	YES
142	162	2014	OO	OO	YES
143	165	For	OO	OO	YES
144	166	online	JJ	JJ	YES
145	167	social	JJ	JJ	YES
146	168	networks	NN	NN	YES
147	170	edges	NN	NN	YES
148	171	might	VB	VB	YES
149	172	represent	VB	VB	YES
150	174	relationships	NN	NN	YES
151	175	or	OO	OO	YES
152	176	pairs	NN	NN	YES
153	177	of	OO	OO	YES
154	178	users	NN	NN	YES
155	179	that	OO	OO	YES
156	180	frequently	RB	RB	YES
157	181	message	VB	VB	YES
158	182	each	OO	OO	YES
159	183	other	JJ	JJ	YES
160	185	Ver	NN	NN	YES
161	186	Steeg	NN	NN	YES
162	187	and	OO	OO	YES
163	188	Galstyan	NN	NN	YES
164	190	2012	OO	OO	YES
165	192	2013	OO	OO	YES
166	195	Edges	NN	NN	YES
167	196	that	OO	OO	YES
168	197	represent	VB	VB	YES
169	198	dynamics	NN	NN	YES
170	199	often	RB	RB	YES
171	200	must	VB	VB	YES
172	201	be	VB	VB	YES
173	202	inferred	VB	VB	YES
174	203	from	OO	OO	YES
175	204	activity	NN	NN	YES
176	206	in	OO	OO	YES
177	207	some	OO	OO	YES
178	208	cases	NN	NN	YES
179	209	statistically	RB	RB	YES
180	211	There	OO	OO	YES
181	212	is	VB	VB	YES
182	213	a	OO	OO	YES
183	214	large	JJ	JJ	YES
184	215	literature	NN	NN	YES
185	216	on	OO	OO	YES
186	217	graphs	NN	NN	YES
187	218	whose	JJ	JJ	YES
188	219	edges	NN	NN	YES
189	220	depict	VB	VB	YES
190	221	statistical	JJ	JJ	YES
191	222	relationships	NN	NN	YES
192	224	Markov	NN	NN	YES
193	225	and	OO	OO	YES
194	226	Bayesian	NN	NN	YES
195	227	networks	NN	NN	YES
196	228	are	VB	VB	YES
197	230	probabilistic	JJ	JJ	YES
198	231	graphical	JJ	JJ	YES
199	232	models	NN	NN	YES
200	233	whose	JJ	JJ	YES
201	234	edges	NN	NN	YES
202	235	represent	VB	VB	YES
203	236	correlation	NN	NN	YES
204	238	Many	JJ	JJ	YES
205	239	methods	NN	NN	YES
206	240	have	VB	VB	YES
207	241	been	VB	VB	YES
208	242	proposed	VB	VB	YES
209	243	to	OO	OO	YES
210	244	infer	VB	VB	YES
211	245	and	OO	OO	YES
212	246	approximate	VB	VB	YES
213	247	the	OO	OO	YES
214	248	networks	NN	NN	YES
215	249	from	OO	OO	YES
216	252	data	NN	NN	YES
217	254	often	RB	RB	YES
218	255	relying	VB	VB	YES
219	256	on	OO	OO	YES
220	257	heuristics	NN	NN	YES
221	259	Pretty	RB	RB	YES
222	260	soon	RB	RB	YES
223	261	I	NN	NN	YES
224	262	wanted	VB	VB	YES
225	263	to	OO	OO	YES
226	264	smoke	VB	VB	YES
227	266	and	OO	OO	YES
228	267	asked	VB	VB	YES
229	268	the	OO	OO	YES
