indexInDoc	indexInText	token	taggerPOS	goldPOS	correct?
1	1	Real	JJ	JJ	YES
2	2	world	NN	NN	YES
3	3	networks	NN	NN	YES
4	4	are	VB	VB	YES
5	5	often	RB	RB	YES
6	6	large	JJ	JJ	YES
7	8	there	RB	OO	NO
8	9	are	VB	VB	YES
9	10	tens	NN	NN	YES
10	11	of	OO	OO	YES
11	12	thousands	NN	NN	YES
12	13	of	OO	OO	YES
13	14	human	JJ	JJ	YES
14	15	genes	NN	NN	YES
15	16	and	OO	OO	YES
16	17	trillions	NN	NN	YES
17	18	of	OO	OO	YES
18	19	connections	NN	NN	YES
19	20	in	OO	OO	YES
20	21	the	OO	OO	YES
21	22	human	JJ	JJ	YES
22	23	brain	NN	NN	YES
23	25	Such	JJ	JJ	YES
24	26	scales	NN	NN	YES
25	27	make	VB	VB	YES
26	28	human	JJ	JJ	YES
27	29	visual	JJ	JJ	YES
28	30	processing	NN	NN	YES
29	31	of	OO	OO	YES
30	32	and	OO	OO	YES
31	33	decision	NN	NN	YES
32	34	making	NN	VB	NO
33	35	with	OO	OO	YES
34	36	the	OO	OO	YES
35	37	whole	JJ	JJ	YES
36	38	network	NN	NN	YES
37	39	prohibitive	NN	NN	YES
38	41	This	OO	OO	YES
39	42	paper	NN	NN	YES
40	43	investigates	VB	VB	YES
41	44	algorithms	NN	NN	YES
42	45	to	OO	OO	YES
43	46	identify	VB	VB	YES
44	47	provably	RB	RB	YES
45	48	good	JJ	JJ	YES
46	49	approximations	NN	NN	YES
47	50	of	OO	OO	YES
48	51	the	OO	OO	YES
49	52	network	NN	NN	YES
50	53	topology	NN	NN	YES
51	55	which	OO	OO	YES
52	56	capture	NN	VB	NO
53	57	important	JJ	JJ	YES
54	58	system	NN	NN	YES
55	59	dynamics	NN	NN	YES
56	60	while	OO	OO	YES
57	61	significantly	RB	RB	YES
58	62	reducing	VB	VB	YES
59	63	the	OO	OO	YES
60	64	number	NN	NN	YES
61	65	of	OO	OO	YES
62	66	edges	NN	NN	YES
63	67	to	OO	OO	YES
64	68	enable	VB	VB	YES
65	69	tractable	JJ	JJ	YES
66	70	analysis	NN	NN	YES
67	72	1	OO	OO	YES
68	76	15	OO	OO	YES
69	77	Jun	NN	NN	YES
70	78	2015	OO	OO	YES
71	79	Quinn	NN	NN	YES
72	81	Pinar	NN	NN	YES
73	83	and	OO	OO	YES
74	84	Kiyavash	NN	NN	YES
75	85	Across	OO	OO	YES
76	86	different	JJ	JJ	YES
77	87	domains	NN	NN	YES
78	89	edges	NN	NN	YES
79	90	are	VB	VB	YES
80	91	used	VB	VB	YES
81	92	to	OO	OO	YES
82	93	model	VB	VB	YES
83	94	various	JJ	JJ	YES
84	95	kinds	NN	NN	YES
85	96	of	OO	OO	YES
86	97	ties	NN	NN	YES
87	98	such	JJ	JJ	YES
88	99	as	OO	OO	YES
89	100	physical	JJ	JJ	YES
90	101	connections	NN	NN	YES
91	102	or	OO	OO	YES
92	103	dynamic	JJ	JJ	YES
93	104	relationships	NN	NN	YES
94	106	For	OO	OO	YES
95	107	instance	NN	NN	YES
96	109	in	OO	OO	YES
97	110	depicting	VB	VB	YES
98	111	a	OO	OO	YES
99	112	computer	NN	NN	YES
100	113	network	NN	NN	YES
101	115	an	OO	OO	YES
102	116	edge	NN	NN	YES
103	117	might	VB	VB	YES
104	118	correspond	VB	VB	YES
105	119	to	OO	OO	YES
106	120	a	OO	OO	YES
107	121	physical	JJ	JJ	YES
108	122	wire	NN	NN	YES
109	123	or	OO	OO	YES
110	124	a	OO	OO	YES
111	125	packet	NN	NN	YES
112	126	exchange	NN	NN	YES
113	127	between	OO	OO	YES
114	128	a	OO	OO	YES
115	129	sender	NN	NN	YES
116	130	and	OO	OO	YES
117	131	a	OO	OO	YES
118	132	receiver	NN	NN	YES
119	134	For	OO	OO	YES
120	135	the	OO	OO	YES
121	136	human	JJ	JJ	YES
122	137	brain	NN	NN	YES
123	139	edges	NN	NN	YES
124	140	could	VB	VB	YES
125	141	correspond	VB	VB	YES
126	142	to	OO	OO	YES
127	143	information	NN	NN	YES
128	144	flow	NN	NN	YES
129	145	between	OO	OO	YES
130	146	different	JJ	JJ	YES
131	147	cells	NN	NN	YES
132	148	or	OO	OO	YES
133	149	brain	NN	NN	YES
134	150	regions	NN	NN	YES
135	152	Takahashi	NN	NN	YES
136	153	et	NN	OO	NO
137	154	al	NN	NN	YES
138	157	2015	OO	OO	YES
139	159	Kim	NN	NN	YES
140	160	et	NN	OO	NO
141	161	al	NN	NN	YES
142	164	2014	OO	OO	YES
143	167	For	OO	OO	YES
144	168	online	JJ	JJ	YES
145	169	social	JJ	JJ	YES
146	170	networks	NN	NN	YES
147	172	edges	NN	NN	YES
148	173	might	VB	VB	YES
149	174	represent	VB	VB	YES
150	176	relationships	NN	NN	YES
151	177	or	OO	OO	YES
152	178	pairs	NN	NN	YES
153	179	of	OO	OO	YES
154	180	users	NN	NN	YES
155	181	that	OO	OO	YES
156	182	frequently	RB	RB	YES
157	183	message	NN	VB	NO
158	184	each	OO	OO	YES
159	185	other	JJ	JJ	YES
160	187	Ver	NN	NN	YES
161	188	Steeg	NN	NN	YES
162	189	and	OO	OO	YES
163	190	Galstyan	NN	NN	YES
164	192	2012	OO	OO	YES
165	194	2013	OO	OO	YES
166	197	Edges	NN	NN	YES
167	198	that	OO	OO	YES
168	199	represent	VB	VB	YES
169	200	dynamics	NN	NN	YES
170	201	often	RB	RB	YES
171	202	must	VB	VB	YES
172	203	be	VB	VB	YES
173	204	inferred	VB	VB	YES
174	205	from	OO	OO	YES
175	206	activity	NN	NN	YES
176	208	in	OO	OO	YES
177	209	some	OO	OO	YES
178	210	cases	NN	NN	YES
179	211	statistically	RB	RB	YES
180	213	There	OO	OO	YES
181	214	is	VB	VB	YES
182	215	a	OO	OO	YES
183	216	large	JJ	JJ	YES
184	217	literature	NN	NN	YES
185	218	on	OO	OO	YES
186	219	graphs	NN	NN	YES
187	220	whose	JJ	JJ	YES
188	221	edges	NN	NN	YES
189	222	depict	VB	VB	YES
190	223	statistical	JJ	JJ	YES
191	224	relationships	NN	NN	YES
192	226	Markov	NN	NN	YES
193	227	and	OO	OO	YES
194	228	Bayesian	NN	NN	YES
195	229	networks	NN	NN	YES
196	230	are	VB	VB	YES
197	232	probabilistic	JJ	JJ	YES
198	233	graphical	JJ	JJ	YES
199	234	models	NN	NN	YES
200	235	whose	JJ	JJ	YES
201	236	edges	NN	NN	YES
202	237	represent	VB	VB	YES
203	238	correlation	NN	NN	YES
204	240	Many	JJ	JJ	YES
205	241	methods	NN	NN	YES
206	242	have	VB	VB	YES
207	243	been	VB	VB	YES
208	244	proposed	VB	VB	YES
209	245	to	OO	OO	YES
210	246	infer	JJ	VB	NO
211	247	and	OO	OO	YES
212	248	approximate	JJ	VB	NO
213	249	the	OO	OO	YES
214	250	networks	NN	NN	YES
215	251	from	OO	OO	YES
216	255	data	NN	NN	YES
217	257	often	RB	RB	YES
218	258	relying	VB	VB	YES
219	259	on	OO	OO	YES
220	260	heuristics	NN	NN	YES
221	262	Pretty	RB	RB	YES
222	263	soon	RB	RB	YES
223	264	I	NN	NN	YES
224	265	wanted	VB	VB	YES
225	266	to	OO	OO	YES
226	267	smoke	VB	VB	YES
227	269	and	OO	OO	YES
228	270	asked	VB	VB	YES
229	271	the	OO	OO	YES
