indexInDoc	indexInText	token	taggerPOS	goldPOS	correct?
1	1	The	JJ	JJ	YES
2	2	European	JJ	JJ	YES
3	3	insurance	NN	NN	YES
4	4	sector	NN	NN	YES
5	5	will	VB	VB	YES
6	6	soon	RB	RB	YES
7	7	be	VB	VB	YES
8	8	faced	VB	VB	YES
9	9	with	OO	OO	YES
10	10	the	OO	OO	YES
11	11	application	NN	NN	YES
12	12	of	OO	OO	YES
13	13	Solvency	NN	NN	YES
14	14	2	OO	OO	YES
15	15	regulation	NN	NN	YES
16	16	norms	NN	NN	YES
17	18	It	NN	NN	YES
18	19	will	VB	VB	YES
19	20	create	VB	VB	YES
20	21	a	OO	OO	YES
21	22	real	JJ	JJ	YES
22	23	change	NN	NN	YES
23	24	in	OO	OO	YES
24	25	risk	NN	NN	YES
25	26	management	NN	NN	YES
26	27	practices	NN	NN	YES
27	29	The	OO	OO	YES
28	30	ORSA	NN	NN	YES
29	31	approach	NN	NN	YES
30	32	of	OO	OO	YES
31	33	the	OO	OO	YES
32	34	second	JJ	JJ	YES
33	35	pillar	NN	NN	YES
34	36	makes	VB	VB	YES
35	37	the	OO	OO	YES
36	38	capital	NN	NN	YES
37	39	allocation	NN	NN	YES
38	40	an	OO	OO	YES
39	41	important	JJ	JJ	YES
40	42	exercise	NN	NN	YES
41	43	for	OO	OO	YES
42	44	all	OO	OO	YES
43	45	insurers	NN	NN	YES
44	46	and	OO	OO	YES
45	47	specially	RB	RB	YES
46	48	for	OO	OO	YES
47	49	groups	NN	NN	YES
48	51	Considering	VB	VB	YES
49	55	firms	NN	NN	YES
50	57	capital	NN	NN	YES
51	58	allocation	NN	NN	YES
52	59	has	VB	VB	YES
53	60	to	OO	OO	YES
54	61	be	VB	VB	YES
55	62	based	VB	VB	YES
56	63	on	OO	OO	YES
57	64	a	OO	OO	YES
58	65	multivariate	NN	JJ	NO
59	66	risk	NN	NN	YES
60	67	modeling	NN	NN	YES
61	69	Several	JJ	JJ	YES
62	70	allocation	NN	NN	YES
63	71	methods	NN	NN	YES
64	72	are	VB	VB	YES
65	73	present	JJ	JJ	YES
66	74	in	OO	OO	YES
67	75	the	OO	OO	YES
68	76	literature	NN	NN	YES
69	77	and	OO	OO	YES
70	78	insurers	NN	NN	YES
71	79	practices	NN	NN	YES
72	81	In	OO	OO	YES
73	82	this	OO	OO	YES
74	83	paper	NN	NN	YES
75	85	we	NN	NN	YES
76	86	present	VB	VB	YES
77	87	a	OO	OO	YES
78	88	new	JJ	JJ	YES
79	89	risk	NN	NN	YES
80	90	allocation	NN	NN	YES
81	91	method	NN	NN	YES
82	93	we	NN	NN	YES
83	94	study	VB	VB	YES
84	95	its	JJ	JJ	YES
85	96	coherence	NN	NN	YES
86	97	using	VB	VB	YES
87	98	an	OO	OO	YES
88	99	axiomatic	JJ	JJ	YES
89	100	approach	NN	NN	YES
90	102	and	OO	OO	YES
91	103	we	NN	NN	YES
92	104	try	VB	VB	YES
93	105	to	OO	OO	YES
94	106	define	VB	VB	YES
95	107	what	NN	NN	YES
96	108	the	OO	OO	YES
97	109	best	JJ	JJ	YES
98	110	allocation	NN	NN	YES
99	111	choice	NN	NN	YES
100	112	for	OO	OO	YES
101	113	an	OO	OO	YES
102	114	insurance	NN	NN	YES
103	115	group	NN	NN	YES
104	116	is	VB	VB	YES
105	118	Introduction	NN	NN	YES
106	119	Solvency	NN	NN	YES
107	120	2	OO	OO	YES
108	121	standards	NN	NN	YES
109	122	will	VB	VB	YES
110	123	make	VB	VB	YES
111	124	a	OO	OO	YES
112	125	radical	JJ	JJ	YES
113	126	change	NN	NN	YES
114	127	in	OO	OO	YES
115	128	risk	NN	NN	YES
116	129	management	NN	NN	YES
117	130	practices	NN	NN	YES
118	131	in	OO	OO	YES
119	132	the	OO	OO	YES
120	133	actuarial	JJ	JJ	YES
121	134	sector	NN	NN	YES
122	136	They	NN	NN	YES
123	137	are	VB	VB	YES
124	138	based	VB	VB	YES
125	139	on	OO	OO	YES
126	140	a	OO	OO	YES
127	141	strengthening	NN	NN	YES
128	142	of	OO	OO	YES
129	143	risk	NN	NN	YES
130	144	control	NN	NN	YES
131	145	and	OO	OO	YES
132	146	minimization	NN	NN	YES
133	147	of	OO	OO	YES
134	148	a	OO	OO	YES
135	149	ruin	NN	NN	YES
136	150	probability	NN	NN	YES
137	152	The	OO	OO	YES
138	153	determination	NN	NN	YES
139	154	of	OO	OO	YES
140	155	the	OO	OO	YES
141	156	economic	JJ	JJ	YES
142	157	regulatory	JJ	JJ	YES
143	158	capital	NN	NN	YES
144	159	will	VB	VB	YES
145	160	be	VB	VB	YES
146	161	faced	VB	VB	YES
147	162	under	OO	OO	YES
148	163	this	OO	OO	YES
149	164	prudential	JJ	JJ	YES
150	165	mechanism	NN	NN	YES
151	166	with	OO	OO	YES
152	167	a	OO	OO	YES
