indexInText	indexInSentence	sentenceNumber	startingChar	endingChar	token	posTag
1	1	1	1	5	﻿The	OO
2	2	1	6	12	studio	NN
3	3	1	13	16	was	VB
4	4	1	17	23	filled	VB
5	5	1	24	28	with	OO
6	6	1	29	32	the	OO
7	7	1	33	37	rich	JJ
8	8	1	38	43	odour	NN
9	9	1	44	46	of	OO
10	10	1	47	52	roses	NN
11	11	1	52	53	,	OO
12	12	1	54	57	and	OO
13	13	1	58	62	when	RB
14	14	1	63	66	the	OO
15	15	1	67	72	light	JJ
16	16	1	73	79	summer	NN
17	17	1	80	84	wind	NN
18	18	1	85	92	stirred	VB
19	19	1	93	99	amidst	OO
20	20	1	100	103	the	OO
21	21	1	104	109	trees	NN
22	22	1	110	112	of	OO
23	23	1	113	116	the	OO
24	24	1	117	123	garden	NN
25	25	1	123	124	,	OO
26	26	1	125	130	there	OO
27	27	1	131	135	came	VB
28	28	1	136	143	through	OO
29	29	1	144	147	the	OO
30	30	1	148	152	open	JJ
31	31	1	153	157	door	NN
32	32	1	158	161	the	OO
33	33	1	162	167	heavy	JJ
34	34	1	168	173	scent	NN
35	35	1	174	176	of	OO
36	36	1	177	180	the	OO
37	37	1	181	186	lilac	NN
38	38	1	186	187	,	OO
39	39	1	188	190	or	OO
40	40	1	191	194	the	OO
41	41	1	195	199	more	JJ
42	42	1	200	208	delicate	JJ
43	43	1	209	216	perfume	NN
44	44	1	217	219	of	OO
45	45	1	220	223	the	OO
46	46	1	224	238	pink-flowering	JJ
47	47	1	239	244	thorn	NN
48	48	1	244	245	.	OO
49	1	2	1	5	From	OO
50	2	2	6	9	the	OO
51	3	2	10	16	corner	NN
52	4	2	17	19	of	OO
53	5	2	20	23	the	OO
54	6	2	24	29	divan	NN
55	7	2	30	32	of	OO
56	8	2	33	40	Persian	JJ
57	9	2	41	52	saddle-bags	NN
58	10	2	53	55	on	OO
59	11	2	56	61	which	OO
60	12	2	62	64	he	NN
61	13	2	65	68	was	VB
62	14	2	69	74	lying	VB
63	15	2	74	75	,	OO
64	16	2	76	83	smoking	VB
65	17	2	83	84	,	OO
66	18	2	85	87	as	OO
67	19	2	88	91	was	VB
68	20	2	92	95	his	JJ
69	21	2	96	102	custom	NN
70	22	2	102	103	,	OO
71	23	2	104	115	innumerable	JJ
72	24	2	116	126	cigarettes	NN
73	25	2	126	127	,	OO
74	26	2	128	132	Lord	NN
75	27	2	133	138	Henry	NN
76	28	2	139	145	Wotton	NN
77	29	2	146	151	could	VB
78	30	2	152	156	just	RB
79	31	2	157	162	catch	VB
80	32	2	163	166	the	OO
81	33	2	167	172	gleam	NN
82	34	2	173	175	of	OO
83	35	2	176	179	the	OO
84	36	2	180	191	honey-sweet	JJ
85	37	2	192	195	and	OO
86	38	2	196	210	honey-coloured	JJ
87	39	2	211	219	blossoms	NN
88	40	2	220	222	of	OO
89	41	2	223	224	a	OO
90	42	2	225	233	laburnum	NN
91	43	2	233	234	,	OO
92	44	2	235	240	whose	JJ
93	45	2	241	250	tremulous	JJ
94	46	2	251	259	branches	NN
95	47	2	260	266	seemed	VB
96	48	2	267	273	hardly	RB
97	49	2	274	278	able	JJ
98	50	2	279	281	to	OO
99	51	2	282	286	bear	VB
100	52	2	287	290	the	OO
101	53	2	291	297	burden	NN
102	54	2	298	300	of	OO
103	55	2	301	302	a	OO
104	56	2	303	309	beauty	NN
105	57	2	310	312	so	RB
106	58	2	313	322	flamelike	JJ
107	59	2	323	325	as	OO
