indexInText	indexInSentence	sentenceNumber	startingChar	endingChar	token	posTag
1	1	1	1	3	In	OO
2	2	1	4	5	a	OO
3	3	1	6	9	day	NN
4	4	1	10	12	of	OO
5	5	1	13	21	protests	NN
6	6	1	22	24	in	OO
7	7	1	25	30	Egypt	NN
8	8	1	30	31	,	OO
9	9	1	32	40	hundreds	NN
10	10	1	41	43	of	OO
11	11	1	44	53	thousands	NN
12	12	1	54	56	of	OO
13	13	1	57	63	people	NN
14	14	1	64	71	marched	VB
15	15	1	72	74	in	OO
16	16	1	75	78	the	OO
17	17	1	79	86	streets	NN
18	18	1	87	89	on	OO
19	19	1	90	97	January	NN
20	20	1	98	102	25th	OO
21	21	1	103	109	facing	VB
22	22	1	110	114	down	OO
23	23	1	115	119	riot	NN
24	24	1	120	126	police	NN
25	25	1	126	127	,	OO
26	26	1	128	133	water	NN
27	27	1	134	141	cannons	NN
28	28	1	141	142	,	OO
29	29	1	143	148	baton	NN
30	30	1	149	156	charges	NN
31	31	1	157	160	and	OO
32	32	1	161	165	tear	VB
33	33	1	166	169	gas	NN
34	34	1	169	170	.	OO
35	1	2	1	4	The	OO
36	2	2	5	11	people	NN
37	3	2	12	15	are	VB
38	4	2	16	24	chanting	VB
39	5	2	25	28	for	OO
40	6	2	29	36	freedom	NN
41	7	2	37	40	and	OO
42	8	2	41	43	an	OO
43	9	2	44	47	end	NN
44	10	2	48	50	to	OO
45	11	2	51	54	the	OO
46	12	2	55	62	corrupt	JJ
47	13	2	63	77	administration	NN
48	14	2	78	80	of	OO
49	15	2	81	86	Hosni	NN
50	16	2	87	94	Mubarak	NN
51	17	2	94	95	,	OO
52	18	2	96	99	who	NN
53	19	2	100	103	has	VB
54	20	2	104	108	been	VB
55	21	2	109	111	in	OO
56	22	2	112	117	power	NN
57	23	2	118	121	for	OO
58	24	2	122	124	30	OO
59	25	2	125	130	years	NN
60	26	2	130	131	,	OO
61	27	2	132	136	with	OO
62	28	2	137	140	the	OO
63	29	2	141	147	demand	NN
64	30	2	148	152	that	OO
65	31	2	153	155	he	NN
66	32	2	156	160	join	VB
67	33	2	161	164	the	OO
68	34	2	165	173	Tunisian	JJ
69	35	2	174	182	dictator	NN
70	36	2	183	186	Ben	NN
71	37	2	187	190	Ali	NN
72	38	2	191	193	in	OO
73	39	2	194	199	Saudi	NN
74	40	2	200	206	Arabia	NN
75	41	2	206	207	.	OO
76	1	3	1	3	By	OO
77	2	3	4	17	mid-afternoon	NN
78	3	3	17	18	,	OO
79	4	3	19	22	the	OO
80	5	3	23	31	Egyptian	JJ
81	6	3	32	42	government	NN
82	7	3	43	46	had	VB
83	8	3	47	54	blocked	VB
84	9	3	55	62	Twitter	RB
85	10	3	62	63	,	OO
86	11	3	64	72	websites	NN
87	12	3	73	75	of	OO
88	13	3	76	87	independent	JJ
89	14	3	88	98	newspapers	NN
90	15	3	99	102	and	OO
91	16	3	103	107	live	VB
92	17	3	108	117	streaming	VB
93	18	3	118	129	application	NN
94	19	3	130	139	#bambuser	NN
95	20	3	139	140	.	OO
96	1	4	1	6	There	OO
97	2	4	7	10	are	VB
98	3	4	11	18	reports	NN
99	4	4	19	23	that	OO
100	5	4	24	29	phone	NN
101	6	4	30	35	lines	NN
102	7	4	36	40	used	VB
103	8	4	41	43	by	OO
104	9	4	44	51	lawyers	NN
105	10	4	52	55	and	OO
106	11	4	56	65	activists	NN
107	12	4	66	75	providing	VB
108	13	4	76	83	support	NN
109	14	4	84	87	are	VB
110	15	4	88	92	also	RB
111	16	4	93	98	being	VB
112	17	4	99	108	suspended	VB
113	18	4	108	109	,	OO
114	19	4	110	113	and	OO
115	20	4	114	118	many	JJ
116	21	4	119	124	phone	NN
117	22	4	125	130	lines	NN
118	23	4	131	135	have	VB
119	24	4	136	139	had	VB
120	25	4	140	144	data	NN
121	26	4	145	153	services	NN
122	27	4	154	162	disabled	JJ
123	28	4	162	163	.	OO
124	1	5	1	3	At	OO
125	2	5	4	9	least	JJ
126	3	5	10	13	six	OO
127	4	5	14	24	protesters	NN
128	5	5	25	29	were	VB
129	6	5	30	36	killed	VB
130	7	5	37	41	with	OO
131	8	5	42	46	some	OO
132	9	5	47	54	reports	NN
133	10	5	55	59	that	OO
