indexInText	indexInSentence	sentenceNumber	token	posTag	lemma	neTag
1	1	2	The	DT	the	
2	2	2	justice	NN	justice	
3	3	2	department	NN	department	
4	4	2	indictment	NN	indictment	
5	5	2	she	PRP	-PRON-	
6	6	2	d	MD	would	
7	7	2	significant	JJ	significant	
8	8	2	light	NN	light	
9	9	2	on	IN	on	
10	10	2	the	DT	the	
11	11	2	hackers’	NN	hackers’	
12	12	2	tradecraft	NN	tradecraft	
13	13	2	.	.	.	
14	1	3	According	VBG	accord	
15	2	3	to	IN	to	
16	3	3	the	DT	the	
17	4	3	indictment	NN	indictment	
18	5	3	,	,	,	
19	6	3	not	RB	not	
20	7	3	only	RB	only	
21	8	3	did	VBD	do	
22	9	3	the	DT	the	
23	10	3	hackers	NNS	hacker	
24	11	3	write	VBP	write	
25	12	3	authentication	NN	authentication	
26	13	3	cookies	NNS	cookie	
27	14	3	for	IN	for	
28	15	3	use	NN	use	
29	16	3	on	IN	on	
30	17	3	their	PRP$	their	
31	18	3	own	JJ	own	
32	19	3	computers	NNS	computer	
33	20	3	,	,	,	
34	21	3	they	PRP	they	
35	22	3	were	VBD	be	
36	23	3	also	RB	also	
37	24	3	able	JJ	able	
38	25	3	to	TO	to	
39	26	3	forge	VB	forge	
40	27	3	cookies	NNS	cookie	
41	28	3	,	,	,	
42	29	3	upload	VB	upload	
43	30	3	them	PRP	them	
44	31	3	to	IN	to	
45	32	3	Yahoo	NNP	yahoo	PERSON
46	33	3	’s	NNP	’s	PERSON
47	34	3	system	NN	system	
48	35	3	and	CC	and	
49	36	3	push	VB	push	
50	37	3	them	PRP	them	
51	38	3	to	IN	to	
52	39	3	individual	JJ	individual	
53	40	3	users	NNS	user	
54	41	3	they	PRP	they	
55	42	3	wished	VBD	wish	
56	43	3	to	TO	to	
57	44	3	target	VB	target	
58	45	3	,	,	,	
59	46	3	according	VBG	accord	
60	47	3	to	IN	to	
61	48	3	the	DT	the	
62	49	3	indictment	NN	indictment	
63	50	3	.	.	.	
64	1	4	The	DT	the	
65	2	4	issue	NN	issue	
66	3	4	of	IN	of	
67	4	4	capital	NN	capital	
68	5	4	allocation	NN	allocation	
69	6	4	in	IN	in	
70	7	4	a	DT	a	
71	8	4	multivariate	NN	multivariate	
72	9	4	context	NN	context	
73	10	4	arises	VBZ	arise	
74	11	4	from	IN	from	
75	12	4	the	DT	the	
76	13	4	presence	NN	presence	
77	14	4	of	IN	of	
78	15	4	dependence	NN	dependence	
79	16	4	between	IN	between	
80	17	4	the	DT	the	
81	18	4	various	JJ	various	
82	19	4	risky	JJ	risky	
83	20	4	activities	NNS	activity	
84	21	4	in	IN	in	
85	22	4	Section	NNP	section	EVENT
86	23	4	2.4.5	CD	2.4.5	
87	24	4	which	WDT	which	
88	25	4	may	MD	may	
89	26	4	generate	VB	generate	
90	27	4	a	DT	a	
91	28	4	diversification	NN	diversification	
92	29	4	effect	NN	effect	
93	30	4	.	.	.	
94	1	5	The	DT	the	
95	2	5	following	VBG	follow	
96	3	5	command	NN	command	
97	4	5	generates	VBZ	generate	
98	5	5	nlp4j.txt.nlp	CD	nlp4j.txt.nlp	
99	6	5	.	.	.	
100	1	6	It	PRP	it	
101	2	6	uses	VBZ	use	
102	3	6	config	NN	config	
103	4	6	-	HYPH	-	
104	5	6	decode	NN	decode	
105	6	6	-	HYPH	-	
106	7	6	en.xml	NNP	en.xml	
107	8	6	.	.	.	
108	1	7	Capital	NN	capital	
109	2	7	allocation	NN	allocation	
110	3	7	is	VBZ	be	
111	4	7	an	DT	an	
112	5	7	internal	JJ	internal	
113	6	7	exercise	NN	exercise	
114	7	7	calculated	VBN	calculate	
115	8	7	by	IN	by	
116	9	7	class	NN	class	
117	10	7	method	NN	method	
118	11	7	scr.capital	JJ	scr.capital	
119	12	7	(	-LRB-	(	
120	13	7	)	-RRB-	)	
121	14	7	,	,	,	
122	15	7	certainly	RB	certainly	
123	16	7	not	RB	not	
124	17	7	controlled	VBN	control	
125	18	7	by	IN	by	
126	19	7	the	DT	the	
127	20	7	first	JJ	first	ORDINAL
128	21	7	pillar	NN	pillar	
129	22	7	.	.	.	
130	1	8	Several	JJ	several	
131	2	8	allocation	NN	allocation	
132	3	8	methods	NNS	method	
133	4	8	in	IN	in	
134	5	8	the	DT	the	
135	6	8	literature	NN	literature	
136	7	8	use	NN	use	
137	8	8	w=(l1[i],p1[j	NN	w=(l1[i],p1[j	
138	9	8	]	-RRB-	]	
139	10	8	)	-RRB-	)	
140	11	8	to	TO	to	
141	12	8	initialize	VB	initialize	
142	13	8	the	DT	the	
143	14	8	choice	NN	choice	
144	15	8	of	IN	of	
145	16	8	a	DT	a	
146	17	8	univariate	JJ	univariate	
147	18	8	risk	NN	risk	
148	19	8	measure	NN	measure	
