tokenInText	tokenInSentence	sentenceNumber	token	posTag	lemma	neTag
1	1	2	﻿Between	IN	﻿between	
2	2	2	us	PRP	us	
3	3	2	there	EX	there	
4	4	2	was	VBD	be	
5	5	2	,	,	,	
6	6	2	as	IN	as	
7	7	2	I	PRP	i	
8	8	2	have	VBP	have	
9	9	2	already	RB	already	
10	10	2	said	VBN	say	
11	11	2	somewhere	RB	somewhere	
12	12	2	,	,	,	
13	13	2	the	DT	the	
14	14	2	bond	NN	bond	
15	15	2	of	IN	of	
16	16	2	the	DT	the	
17	17	2	sea	NN	sea	
18	18	2	.	.	.	
19	1	3	Besides	IN	besides	
20	2	3	holding	VBG	hold	
21	3	3	our	PRP$	our	
22	4	3	hearts	NNS	heart	
23	5	3	together	RB	together	
24	6	3	through	IN	through	
25	7	3	long	JJ	long	
26	8	3	periods	NNS	period	
27	9	3	of	IN	of	
28	10	3	separation	NN	separation	
29	11	3	,	,	,	
30	12	3	it	PRP	it	
31	13	3	had	VBD	have	
32	14	3	the	DT	the	
33	15	3	effect	NN	effect	
34	16	3	of	IN	of	
35	17	3	making	VBG	make	
36	18	3	us	PRP	us	
37	19	3	tolerant	JJ	tolerant	
38	20	3	of	IN	of	
39	21	3	each	DT	each	
40	22	3	other	JJ	other	
41	23	3	's	POS	's	
42	24	3	yarns	NNS	yarn	
43	25	3	--	:	--	
44	26	3	and	CC	and	
45	27	3	even	RB	even	
46	28	3	convictions	NNS	conviction	
47	29	3	.	.	.	
48	1	4	The	DT	the	
49	2	4	Lawyer	NNP	lawyer	
50	3	4	--	:	--	
51	4	4	the	DT	the	
52	5	4	best	JJS	best	
53	6	4	of	IN	of	
54	7	4	old	JJ	old	
55	8	4	fellows	NNS	fellow	
56	9	4	--	:	--	
57	10	4	had	VBD	have	
58	11	4	,	,	,	
59	12	4	because	IN	because	
60	13	4	of	IN	of	
61	14	4	his	PRP$	his	
62	15	4	many	JJ	many	
63	16	4	years	NNS	year	
64	17	4	and	CC	and	
65	18	4	many	JJ	many	
66	19	4	virtues	NNS	virtue	
67	20	4	,	,	,	
68	21	4	the	DT	the	
69	22	4	only	JJ	only	
70	23	4	cushion	NN	cushion	
71	24	4	on	IN	on	
72	25	4	deck	NN	deck	
73	26	4	,	,	,	
74	27	4	and	CC	and	
75	28	4	was	VBD	be	
76	29	4	lying	VBG	lie	
77	30	4	on	IN	on	
78	31	4	the	DT	the	
79	32	4	only	JJ	only	
80	33	4	rug	NN	rug	
81	34	4	.	.	.	
82	1	5	The	DT	the	
83	2	5	Accountant	NNP	accountant	
84	3	5	had	VBD	have	
85	4	5	brought	VBN	bring	
86	5	5	out	RP	out	
87	6	5	already	RB	already	
88	7	5	a	DT	a	
89	8	5	box	NN	box	
90	9	5	of	IN	of	
91	10	5	dominoes	NNS	domino	
92	11	5	,	,	,	
93	12	5	and	CC	and	
94	13	5	was	VBD	be	
95	14	5	toying	VBG	toy	
