line number	sample stem	unstemmed tokens	stemmed tokens	proportion of tokens remaining	number of lines containing matching tokens
1	controllingli	22	7	0.3181818182	0
2	overcontribut	25	6	0.24	0
3	nonnorm	28	9	0.3214285714	0
4	product	29	8	0.275862069	0
5	undemocrat	18	9	0.5	0
6	development	20	13	0.65	0
7	unfocus	20	10	0.5	0
8	reidentifi	24	8	0.3333333333	0
9	precomplet	21	5	0.2380952381	0
10	nonreal	28	8	0.2857142857	0
11	prereligi	17	8	0.4705882353	0
12	outmeasur	25	7	0.28	0
13	unrecogniz	20	7	0.35	0
14	unjudg	18	9	0.5	0
15	nontradit	17	14	0.8235294118	0
16	definit	26	8	0.3076923077	0
17	nonrespons	15	10	0.6666666667	0
18	describ	22	6	0.2727272727	0
19	preproven	20	9	0.45	0
20	prenatur	17	7	0.4117647059	0
21	increasingli	19	8	0.4210526316	0
22	involved	25	9	0.36	0
23	noncommerci	15	9	0.6	0
24	critic	13	7	0.5384615385	0
25	demonstratedli	19	7	0.3684210526	0
26	subeffect	19	5	0.2631578947	0
27	replan	20	10	0.5	0
28	reform	14	3	0.2142857143	0
29	nonsuccessfulli	15	10	0.6666666667	0
30	subpolit	16	8	0.5	0
31	nondeb	25	12	0.48	0
32	relevel	16	6	0.375	0
33	untrad	22	9	0.4090909091	0
34	nonnat	14	12	0.8571428571	0
35	encouragingli	18	6	0.3333333333	0
36	nonobservingli	21	8	0.380952381	0
37	revealedli	18	9	0.5	0
38	outstricken	15	9	0.6	0
39	subgovern	16	10	0.625	0
40	unphys	12	6	0.5	0
41	independ	10	5	0.5	0
42	undreamlik	16	9	0.5625	0
43	improvingli	15	4	0.2666666667	0
44	overinterested	10	6	0.6	0
45	unprofessori	9	5	0.5555555556	0
46	superposit	12	4	0.3333333333	0
47	misbuild	10	8	0.8	0
48	practic	21	12	0.5714285714	0
49	prevent	17	7	0.4117647059	0
50	undertrain	11	7	0.6363636364	0
51	preoffici	14	8	0.5714285714	0
52	unston	11	7	0.6363636364	0
53	benefitt	14	4	0.2857142857	0
54	unsoci	20	8	0.4	0
55	superexamin	17	7	0.4117647059	0
56	modernli	11	7	0.6363636364	0
57	explain	14	5	0.3571428571	0
58	unsubject	11	6	0.5454545455	0
59	undriv	17	10	0.5882352941	0
60	unintern	7	6	0.8571428571	0
61	preclos	17	7	0.4117647059	0
62	reintroduc	14	4	0.2857142857	0
63	outtravel	17	5	0.2941176471	0
64	nonadmittedli	15	8	0.5333333333	0
65	underspread	10	7	0.7	0
66	pseudocultur	13	6	0.4615384615	0
67	regrind	15	10	0.6666666667	0
68	unmaintain	10	3	0.3	0
69	undiscuss	11	3	0.2727272727	0
70	underaverag	13	5	0.3846153846	0
71	unhumanli	6	4	0.6666666667	0
72	doctor	7	3	0.4285714286	0
73	plai	11	6	0.5454545455	0
74	unfactor	8	2	0.25	0
75	overpow	10	7	0.7	0
76	smilingli	14	9	0.6428571429	0
77	shakabl	12	6	0.5	0
78	misref	17	5	0.2941176471	0
79	associ	14	6	0.4285714286	0
80	preshap	18	7	0.3888888889	0
81	environment	8	6	0.75	0
82	intercompar	15	5	0.3333333333	0
83	unmilitarili	12	11	0.9166666667	0
84	hyperperson	11	6	0.5454545455	0
85	prehandl	15	5	0.3333333333	0
86	nonunderstand	10	6	0.6	0
87	outstat	16	8	0.5	0
88	unexpress	8	3	0.375	0
89	overwildli	10	9	0.9	0
90	perfect	9	5	0.5555555556	0
91	nonpressur	10	6	0.6	0
92	suffer	16	5	0.3125	0
93	breakabl	13	7	0.5384615385	0
94	drank	7	5	0.7142857143	0
95	buyabl	10	8	0.8	0
96	changelessli	11	7	0.6363636364	0
97	nontalk	8	4	0.5	0
98	hearabl	8	6	0.75	0
99	preplac	10	5	0.5	0
100	lightfulli	8	3	0.375	0
			mean	0.4890693158	
			sd	0.1685842218	
